policy,m,k,mode,lead_ms,control,metric,paired_events,independent_blocks,mean_delta,ci_low,ci_high,estimand
cosine,20,10,async,1500.0,no_prefetch,arrival_to_first_token_ms,600,6,-33.247263761666666,-34.797467446666666,-31.772516210000003,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1500.0,no_prefetch,target_service_ttft_ms,600,6,-33.24857260166667,-34.84159338333333,-31.885196436500003,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1500.0,no_prefetch,application_to_first_token_ms,600,6,-3.4264143733333383,-7.364952746666667,0.781115721458319,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1500.0,no_prefetch,application_with_policy_ms,600,6,-2.4277119033333405,-6.889778834999999,1.6687984016666524,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1500.0,no_prefetch,cycle_including_drain_ms,600,6,-3.2934794016666555,-7.408974136666653,0.6681495066666748,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1500.0,cosine,arrival_to_first_token_ms,600,6,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1500.0,cosine,target_service_ttft_ms,600,6,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1500.0,cosine,application_to_first_token_ms,600,6,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1500.0,cosine,application_with_policy_ms,600,6,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1500.0,cosine,cycle_including_drain_ms,600,6,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1500.0,no_prefetch,arrival_to_first_token_ms,600,6,-36.316596903333334,-38.05156201166667,-34.764235749041674,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1500.0,no_prefetch,target_service_ttft_ms,600,6,-36.319604958333336,-38.054605116666664,-34.73249578,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1500.0,no_prefetch,application_to_first_token_ms,600,6,6.287364631666669,4.346463295000002,7.999058266416666,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1500.0,no_prefetch,application_with_policy_ms,600,6,9.04615901333333,7.1728069099999985,10.73614276666666,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1500.0,no_prefetch,cycle_including_drain_ms,600,6,6.422951521666673,4.588304273333342,8.16931846333334,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1500.0,cosine,arrival_to_first_token_ms,600,6,-3.0693331416666667,-3.86337535,-2.216786675625002,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1500.0,cosine,target_service_ttft_ms,600,6,-3.071032356666667,-3.818682276833334,-2.2214885399166673,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1500.0,cosine,application_to_first_token_ms,600,6,9.713779005000008,7.0720824116666785,12.169403703333339,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1500.0,cosine,application_with_policy_ms,600,6,11.47387091666667,8.81886861166668,13.899682413874991,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1500.0,cosine,cycle_including_drain_ms,600,6,9.716430923333327,7.118151144999994,12.143879419999992,equal-block mean; descriptive if blocks share source records
online,20,10,async,1500.0,no_prefetch,arrival_to_first_token_ms,600,6,-35.86299503666667,-38.36802673333333,-33.185957169083345,equal-block mean; descriptive if blocks share source records
online,20,10,async,1500.0,no_prefetch,target_service_ttft_ms,600,6,-35.865999615,-38.391255238333336,-33.191038475,equal-block mean; descriptive if blocks share source records
online,20,10,async,1500.0,no_prefetch,application_to_first_token_ms,600,6,6.851910186666668,2.6158087013333486,11.037520003333318,equal-block mean; descriptive if blocks share source records
online,20,10,async,1500.0,no_prefetch,application_with_policy_ms,600,6,9.656071728333318,5.236705468166659,14.004595271541637,equal-block mean; descriptive if blocks share source records
online,20,10,async,1500.0,no_prefetch,cycle_including_drain_ms,600,6,6.999279843333337,2.8218507516666755,11.424917734999996,equal-block mean; descriptive if blocks share source records
online,20,10,async,1500.0,cosine,arrival_to_first_token_ms,600,6,-2.6157312749999995,-4.0777637,-1.1084810433333332,equal-block mean; descriptive if blocks share source records
online,20,10,async,1500.0,cosine,target_service_ttft_ms,600,6,-2.6174270133333333,-4.097694383333334,-1.06772334,equal-block mean; descriptive if blocks share source records
online,20,10,async,1500.0,cosine,application_to_first_token_ms,600,6,10.278324560000007,6.366396054875013,13.96746796333334,equal-block mean; descriptive if blocks share source records
online,20,10,async,1500.0,cosine,application_with_policy_ms,600,6,12.08378363166666,8.171667453333326,15.616150696666665,equal-block mean; descriptive if blocks share source records
online,20,10,async,1500.0,cosine,cycle_including_drain_ms,600,6,10.292759244999992,6.279578960999998,13.67084598499999,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,1500.0,no_prefetch,arrival_to_first_token_ms,600,6,-32.07488116166667,-34.578178134999995,-30.093321423333332,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,1500.0,no_prefetch,target_service_ttft_ms,600,6,-32.07605548833333,-34.523061658333326,-30.054282366666666,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,1500.0,no_prefetch,application_to_first_token_ms,600,6,12.629742316666665,9.27395564066666,15.819477314999991,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,1500.0,no_prefetch,application_with_policy_ms,600,6,12.948952834999993,9.695456213333335,16.007204954291645,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,1500.0,no_prefetch,cycle_including_drain_ms,600,6,12.773339435000006,9.523244936666671,16.04440101500001,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,1500.0,cosine,arrival_to_first_token_ms,600,6,1.1723825999999997,0.052855403083333544,2.239656298333333,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,1500.0,cosine,target_service_ttft_ms,600,6,1.1725171133333332,0.08031151666666665,2.2576315633333333,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,1500.0,cosine,application_to_first_token_ms,600,6,16.056156689999998,12.71719239333333,19.258878258333343,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,1500.0,cosine,application_with_policy_ms,600,6,15.376664738333334,11.731606293333341,18.483158158333328,equal-block mean; descriptive if blocks share source records
semantic_only,20,10,async,1500.0,cosine,cycle_including_drain_ms,600,6,16.066818836666666,12.79339659,19.068335323333326,equal-block mean; descriptive if blocks share source records
structure,20,10,async,1500.0,no_prefetch,arrival_to_first_token_ms,600,6,-34.632151283333336,-35.80624558,-33.465715589999995,equal-block mean; descriptive if blocks share source records
structure,20,10,async,1500.0,no_prefetch,target_service_ttft_ms,600,6,-34.63347205666667,-35.81290522,-33.429795653333336,equal-block mean; descriptive if blocks share source records
structure,20,10,async,1500.0,no_prefetch,application_to_first_token_ms,600,6,7.404988931666668,0.9685307866666584,13.696786294624994,equal-block mean; descriptive if blocks share source records
structure,20,10,async,1500.0,no_prefetch,application_with_policy_ms,600,6,7.701973333333328,1.2996372042916615,14.058960916666658,equal-block mean; descriptive if blocks share source records
structure,20,10,async,1500.0,no_prefetch,cycle_including_drain_ms,600,6,7.53832661000001,1.2111418600000103,13.894845526666677,equal-block mean; descriptive if blocks share source records
structure,20,10,async,1500.0,cosine,arrival_to_first_token_ms,600,6,-1.3848875216666663,-2.1864578299999997,-0.6801059349999997,equal-block mean; descriptive if blocks share source records
structure,20,10,async,1500.0,cosine,target_service_ttft_ms,600,6,-1.384899455,-2.2339217749999993,-0.65156351,equal-block mean; descriptive if blocks share source records
structure,20,10,async,1500.0,cosine,application_to_first_token_ms,600,6,10.831403305000007,7.996016556666663,13.452495251666676,equal-block mean; descriptive if blocks share source records
structure,20,10,async,1500.0,cosine,application_with_policy_ms,600,6,10.129685236666667,7.211558593333322,12.816041425000003,equal-block mean; descriptive if blocks share source records
structure,20,10,async,1500.0,cosine,cycle_including_drain_ms,600,6,10.831806011666666,7.897656740000003,13.504752976333334,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,1500.0,no_prefetch,arrival_to_first_token_ms,600,6,-33.962325125,-35.53159267275,-32.67097846320833,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,1500.0,no_prefetch,target_service_ttft_ms,600,6,-33.96613761333334,-35.41128728554167,-32.71141622166667,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,1500.0,no_prefetch,application_to_first_token_ms,600,6,8.774434209999995,6.160446481666658,10.587786621666668,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,1500.0,no_prefetch,application_with_policy_ms,600,6,11.560411194999999,8.923422508333333,13.319386344333324,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,1500.0,no_prefetch,cycle_including_drain_ms,600,6,8.914982561666669,6.271981845625002,10.717921163333337,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,1500.0,cosine,arrival_to_first_token_ms,600,6,-0.7150613633333336,-1.6700034416666671,0.24527539499999992,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,1500.0,cosine,target_service_ttft_ms,600,6,-0.7175650116666669,-1.6671639933333335,0.24495312166666663,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,1500.0,cosine,application_to_first_token_ms,600,6,12.200848583333334,7.648178938333334,17.215834596666664,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,1500.0,cosine,application_with_policy_ms,600,6,13.98812309833334,9.429958550458343,19.05446533166667,equal-block mean; descriptive if blocks share source records
two_hop,20,10,async,1500.0,cosine,cycle_including_drain_ms,600,6,12.208461963333326,7.6844093016666575,16.839745684999986,equal-block mean; descriptive if blocks share source records
