event_id,session_id,step_id,document_id,current_chunk_id,target_chunk_id,query_type
0,train:hotpot:80,0,hotpot:80,499,502,multi-hop
1,train:hotpot:55,0,hotpot:55,328,330,structural
2,train:hotpot:118,0,hotpot:118,721,718,semantic
3,train:hotpot:30,0,hotpot:30,159,162,semantic
4,train:hotpot:78,0,hotpot:78,476,477,structural
5,train:hotpot:195,0,hotpot:195,1209,1212,semantic
6,train:hotpot:69,0,hotpot:69,404,405,structural
7,train:hotpot:118,1,hotpot:118,721,723,multi-hop
8,train:hotpot:142,0,hotpot:142,852,855,structural
9,train:hotpot:155,0,hotpot:155,938,940,multi-hop
10,train:hotpot:102,0,hotpot:102,603,607,semantic
11,train:hotpot:142,1,hotpot:142,854,859,semantic
12,train:hotpot:184,0,hotpot:184,1102,1104,multi-hop
13,train:hotpot:1,0,hotpot:1,4,0,multi-hop
14,train:hotpot:1,1,hotpot:1,1,10,semantic
15,train:hotpot:43,0,hotpot:43,224,228,semantic
16,train:hotpot:166,0,hotpot:166,996,1004,multi-hop
17,train:hotpot:58,0,hotpot:58,352,359,semantic
18,train:hotpot:12,0,hotpot:12,56,59,structural
19,train:hotpot:78,1,hotpot:78,476,478,multi-hop
20,train:hotpot:194,0,hotpot:194,1190,1195,semantic
21,train:hotpot:72,0,hotpot:72,417,419,structural
22,train:hotpot:43,1,hotpot:43,227,229,structural
23,train:hotpot:155,1,hotpot:155,940,943,multi-hop
24,train:hotpot:174,0,hotpot:174,1058,1063,multi-hop
25,train:hotpot:174,1,hotpot:174,1065,1069,semantic
26,train:hotpot:93,0,hotpot:93,545,548,semantic
27,train:hotpot:195,1,hotpot:195,1208,1210,multi-hop
28,train:hotpot:189,0,hotpot:189,1159,1160,structural
29,train:hotpot:166,1,hotpot:166,1001,996,semantic
30,train:hotpot:92,0,hotpot:92,533,540,multi-hop
31,train:hotpot:96,0,hotpot:96,565,566,structural
32,train:hotpot:101,0,hotpot:101,589,593,semantic
33,train:hotpot:74,0,hotpot:74,440,442,structural
34,train:hotpot:180,0,hotpot:180,1083,1085,multi-hop
35,train:hotpot:110,0,hotpot:110,659,662,multi-hop
36,train:hotpot:135,0,hotpot:135,801,811,semantic
37,train:hotpot:174,2,hotpot:174,1060,1063,semantic
38,train:hotpot:55,1,hotpot:55,330,323,multi-hop
39,train:hotpot:65,0,hotpot:65,379,383,semantic
40,train:hotpot:74,1,hotpot:74,439,434,semantic
41,train:hotpot:79,0,hotpot:79,483,485,multi-hop
42,train:hotpot:12,1,hotpot:12,58,51,semantic
43,train:hotpot:106,0,hotpot:106,633,635,multi-hop
44,train:hotpot:75,0,hotpot:75,454,448,multi-hop
45,train:hotpot:180,1,hotpot:180,1081,1089,semantic
46,train:hotpot:188,0,hotpot:188,1144,1146,multi-hop
47,train:hotpot:186,0,hotpot:186,1120,1123,structural
48,train:hotpot:80,1,hotpot:80,497,494,multi-hop
49,train:hotpot:12,2,hotpot:12,57,51,multi-hop
50,train:hotpot:75,1,hotpot:75,449,452,structural
51,train:hotpot:150,0,hotpot:150,916,919,semantic
52,train:hotpot:55,2,hotpot:55,332,335,semantic
53,train:hotpot:194,1,hotpot:194,1189,1191,multi-hop
54,train:hotpot:166,2,hotpot:166,1002,1004,structural
55,train:hotpot:113,0,hotpot:113,682,684,structural
56,train:hotpot:93,1,hotpot:93,545,548,multi-hop
57,train:hotpot:58,1,hotpot:58,352,355,structural
58,train:hotpot:170,0,hotpot:170,1012,1014,structural
59,train:hotpot:159,0,hotpot:159,967,964,semantic
60,train:hotpot:122,0,hotpot:122,743,746,semantic
61,train:hotpot:79,1,hotpot:79,482,489,semantic
62,train:hotpot:76,0,hotpot:76,460,464,multi-hop
63,train:hotpot:113,1,hotpot:113,677,688,semantic
64,train:hotpot:72,1,hotpot:72,414,416,multi-hop
65,train:hotpot:143,0,hotpot:143,864,866,multi-hop
66,train:hotpot:43,2,hotpot:43,221,231,multi-hop
67,train:hotpot:122,1,hotpot:122,742,744,structural
68,train:hotpot:141,0,hotpot:141,842,844,multi-hop
69,train:hotpot:188,1,hotpot:188,1143,1152,semantic
70,train:hotpot:48,0,hotpot:48,270,271,structural
71,train:hotpot:187,0,hotpot:187,1130,1139,multi-hop
72,train:hotpot:110,1,hotpot:110,655,657,structural
73,train:hotpot:61,0,hotpot:61,364,360,multi-hop
74,train:hotpot:78,2,hotpot:78,475,477,multi-hop
75,train:hotpot:171,0,hotpot:171,1027,1028,structural
76,train:hotpot:194,2,hotpot:194,1188,1191,semantic
77,train:hotpot:194,3,hotpot:194,1194,1188,multi-hop
78,train:hotpot:154,0,hotpot:154,923,925,multi-hop
79,train:hotpot:135,1,hotpot:135,809,812,multi-hop
80,train:hotpot:187,1,hotpot:187,1136,1139,semantic
81,train:hotpot:93,2,hotpot:93,545,548,multi-hop
82,train:hotpot:102,1,hotpot:102,601,609,semantic
83,train:hotpot:72,2,hotpot:72,416,418,multi-hop
84,train:hotpot:135,2,hotpot:135,803,805,multi-hop
85,train:hotpot:173,0,hotpot:173,1052,1054,multi-hop
86,train:hotpot:80,2,hotpot:80,501,494,semantic
87,train:hotpot:76,1,hotpot:76,462,459,multi-hop
88,train:hotpot:180,2,hotpot:180,1082,1084,multi-hop
89,train:hotpot:110,2,hotpot:110,658,660,multi-hop
90,train:hotpot:24,0,hotpot:24,116,120,multi-hop
91,train:hotpot:79,2,hotpot:79,489,490,structural
92,train:hotpot:187,2,hotpot:187,1132,1136,multi-hop
93,train:hotpot:154,1,hotpot:154,925,933,multi-hop
94,train:hotpot:9,0,hotpot:9,28,29,structural
95,train:hotpot:32,0,hotpot:32,170,173,semantic
96,train:hotpot:48,1,hotpot:48,278,281,structural
97,train:hotpot:135,3,hotpot:135,807,811,multi-hop
98,train:hotpot:142,2,hotpot:142,852,854,multi-hop
99,train:hotpot:78,3,hotpot:78,477,478,structural
100,train:hotpot:75,2,hotpot:75,450,452,multi-hop
101,train:hotpot:76,2,hotpot:76,462,464,multi-hop
102,train:hotpot:166,3,hotpot:166,1004,1006,structural
103,train:hotpot:150,1,hotpot:150,911,913,multi-hop
104,train:hotpot:93,3,hotpot:93,542,550,multi-hop
105,train:hotpot:166,4,hotpot:166,1005,1007,multi-hop
106,train:hotpot:72,3,hotpot:72,415,419,semantic
107,train:hotpot:69,1,hotpot:69,400,401,structural
108,train:hotpot:145,0,hotpot:145,875,879,multi-hop
109,train:hotpot:173,1,hotpot:173,1053,1055,structural
110,train:hotpot:173,2,hotpot:173,1044,1046,multi-hop
111,train:hotpot:143,1,hotpot:143,865,867,multi-hop
112,train:hotpot:58,2,hotpot:58,354,351,semantic
113,train:hotpot:113,2,hotpot:113,683,685,multi-hop
114,train:hotpot:171,1,hotpot:171,1022,1024,structural
115,train:hotpot:26,0,hotpot:26,138,135,multi-hop
116,train:hotpot:155,2,hotpot:155,939,942,semantic
117,train:hotpot:58,3,hotpot:58,355,358,multi-hop
118,train:hotpot:110,3,hotpot:110,661,657,multi-hop
119,train:hotpot:32,1,hotpot:32,171,174,semantic
120,train:hotpot:12,3,hotpot:12,54,55,structural
121,train:hotpot:180,3,hotpot:180,1085,1088,multi-hop
122,train:hotpot:75,3,hotpot:75,455,450,semantic
123,train:hotpot:194,4,hotpot:194,1188,1191,multi-hop
124,train:hotpot:127,0,hotpot:127,764,766,multi-hop
125,train:hotpot:94,0,hotpot:94,557,561,multi-hop
126,train:hotpot:24,1,hotpot:24,113,122,multi-hop
127,train:hotpot:79,3,hotpot:79,489,484,semantic
128,train:hotpot:122,2,hotpot:122,743,746,multi-hop
129,train:hotpot:154,2,hotpot:154,926,932,multi-hop
130,train:hotpot:110,4,hotpot:110,656,658,multi-hop
131,train:hotpot:69,2,hotpot:69,401,397,semantic
132,train:hotpot:171,2,hotpot:171,1021,1023,multi-hop
133,train:hotpot:69,3,hotpot:69,404,407,semantic
134,train:hotpot:92,1,hotpot:92,536,533,multi-hop
135,train:hotpot:171,3,hotpot:171,1021,1030,multi-hop
136,train:hotpot:194,5,hotpot:194,1192,1195,semantic
137,train:hotpot:147,0,hotpot:147,890,893,structural
138,train:hotpot:74,2,hotpot:74,435,438,structural
139,train:hotpot:26,1,hotpot:26,142,135,semantic
140,train:hotpot:12,4,hotpot:12,52,58,multi-hop
141,train:hotpot:106,1,hotpot:106,638,633,semantic
142,train:hotpot:48,2,hotpot:48,269,272,multi-hop
143,train:hotpot:122,3,hotpot:122,744,741,semantic
144,train:hotpot:72,4,hotpot:72,416,419,semantic
145,train:hotpot:102,2,hotpot:102,602,604,multi-hop
146,train:hotpot:135,4,hotpot:135,807,811,semantic
147,train:hotpot:122,4,hotpot:122,747,749,multi-hop
148,train:hotpot:170,1,hotpot:170,1013,1016,structural
149,train:hotpot:106,2,hotpot:106,633,636,semantic
150,train:hotpot:26,2,hotpot:26,138,135,semantic
151,train:hotpot:65,1,hotpot:65,374,376,multi-hop
152,train:hotpot:188,2,hotpot:188,1147,1150,multi-hop
153,train:hotpot:186,1,hotpot:186,1126,1128,multi-hop
154,train:hotpot:188,3,hotpot:188,1144,1153,multi-hop
155,train:hotpot:118,2,hotpot:118,724,727,semantic
156,train:hotpot:186,2,hotpot:186,1125,1127,multi-hop
157,train:hotpot:173,3,hotpot:173,1044,1045,structural
158,train:hotpot:106,3,hotpot:106,635,640,multi-hop
159,train:hotpot:147,1,hotpot:147,893,890,multi-hop
160,train:hotpot:87,0,hotpot:87,526,522,multi-hop
161,train:hotpot:79,4,hotpot:79,486,488,multi-hop
162,train:hotpot:101,1,hotpot:101,588,590,multi-hop
