policy,m,k,mode,lead_ms,control,metric,paired_events,independent_blocks,mean_delta,ci_low,ci_high,estimand
cosine,20,10,async,1000.0,no_prefetch,arrival_to_first_token_ms,60,2,-28.793322516666663,-32.4845488,-25.10209623333333,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1000.0,no_prefetch,target_service_ttft_ms,60,2,-28.798543683333335,-32.4800874,-25.116999966666665,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1000.0,no_prefetch,application_to_first_token_ms,60,2,10.903172983333324,6.869096633333341,14.937249333333307,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1000.0,no_prefetch,application_with_policy_ms,60,2,11.264843516666621,7.209117766666615,15.320569266666629,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1000.0,no_prefetch,cycle_including_drain_ms,60,2,11.064798933333346,7.014906933333335,15.114690933333357,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1000.0,cosine,arrival_to_first_token_ms,60,2,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1000.0,cosine,target_service_ttft_ms,60,2,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1000.0,cosine,application_to_first_token_ms,60,2,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1000.0,cosine,application_with_policy_ms,60,2,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1000.0,cosine,cycle_including_drain_ms,60,2,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1250.0,no_prefetch,arrival_to_first_token_ms,60,2,-30.906332983333332,-33.471510699999996,-28.341155266666668,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1250.0,no_prefetch,target_service_ttft_ms,60,2,-30.92292273333333,-33.4811742,-28.364671266666665,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1250.0,no_prefetch,application_to_first_token_ms,60,2,2.3074193666666853,-1.748121466666665,6.362960200000035,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1250.0,no_prefetch,application_with_policy_ms,60,2,2.61720639999999,-1.4534575666666796,6.68787036666666,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1250.0,no_prefetch,cycle_including_drain_ms,60,2,2.4277348666666625,-1.630304966666669,6.485774699999994,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1250.0,cosine,arrival_to_first_token_ms,60,2,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1250.0,cosine,target_service_ttft_ms,60,2,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1250.0,cosine,application_to_first_token_ms,60,2,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1250.0,cosine,application_with_policy_ms,60,2,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
cosine,20,10,async,1250.0,cosine,cycle_including_drain_ms,60,2,0.0,0.0,0.0,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1000.0,no_prefetch,arrival_to_first_token_ms,60,2,-32.4123939,-33.47820263333333,-31.346585166666667,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1000.0,no_prefetch,target_service_ttft_ms,60,2,-32.40754715,-33.47176146666667,-31.34333283333333,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1000.0,no_prefetch,application_to_first_token_ms,60,2,1.9839434833333371,-2.1030337666666736,6.070920733333348,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1000.0,no_prefetch,application_with_policy_ms,60,2,4.74335138333333,0.512776333333333,8.973926433333327,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1000.0,no_prefetch,cycle_including_drain_ms,60,2,2.1465195000000037,-1.92635163333332,6.219390633333327,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1000.0,cosine,arrival_to_first_token_ms,60,2,-3.6190713833333326,-6.244488933333333,-0.9936538333333325,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1000.0,cosine,target_service_ttft_ms,60,2,-3.609003466666666,-6.226332866666666,-0.9916740666666665,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1000.0,cosine,application_to_first_token_ms,60,2,-8.919229499999986,-17.04028309999998,-0.7981758999999935,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1000.0,cosine,application_with_policy_ms,60,2,-6.521492133333292,-14.807792933333296,1.7648086666667118,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1000.0,cosine,cycle_including_drain_ms,60,2,-8.918279433333344,-17.04104256666668,-0.7955163000000084,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1250.0,no_prefetch,arrival_to_first_token_ms,60,2,-31.8623446,-35.97503146666667,-27.749657733333333,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1250.0,no_prefetch,target_service_ttft_ms,60,2,-31.866555249999998,-35.974613999999995,-27.758496499999996,equal-block mean; descriptive if blocks share source records
