event_id,session_id,step_id,document_id,current_chunk_id,target_chunk_id,query_type
0,train:hotpot:127,0,hotpot:127,222,224,multi-hop
1,train:hotpot:30,0,hotpot:30,64,66,multi-hop
2,train:hotpot:138,0,hotpot:138,240,235,multi-hop
3,train:hotpot:172,0,hotpot:172,289,282,multi-hop
4,train:hotpot:138,1,hotpot:138,234,236,multi-hop
5,train:hotpot:127,1,hotpot:127,228,221,semantic
6,train:hotpot:30,1,hotpot:30,70,67,semantic
7,train:hotpot:183,0,hotpot:183,308,309,structural
8,train:hotpot:79,0,hotpot:79,149,153,multi-hop
9,train:hotpot:138,2,hotpot:138,240,235,multi-hop
10,train:hotpot:138,3,hotpot:138,241,243,multi-hop
11,train:hotpot:198,0,hotpot:198,363,359,multi-hop
12,train:hotpot:30,2,hotpot:30,70,67,semantic
13,train:hotpot:18,0,hotpot:18,29,31,multi-hop
14,train:hotpot:75,0,hotpot:75,124,127,semantic
15,train:hotpot:198,1,hotpot:198,360,362,multi-hop
16,train:hotpot:72,0,hotpot:72,112,121,multi-hop
17,train:hotpot:30,3,hotpot:30,69,73,semantic
18,train:hotpot:72,1,hotpot:72,114,116,multi-hop
19,train:hotpot:138,4,hotpot:138,235,239,multi-hop
20,train:hotpot:18,1,hotpot:18,32,29,multi-hop
21,train:hotpot:79,1,hotpot:79,154,149,semantic
22,train:hotpot:62,0,hotpot:62,94,96,multi-hop
23,train:hotpot:172,1,hotpot:172,285,287,multi-hop
24,train:hotpot:30,4,hotpot:30,66,63,multi-hop
25,train:hotpot:78,0,hotpot:78,141,143,multi-hop
26,train:hotpot:114,0,hotpot:114,183,186,multi-hop
27,train:hotpot:95,0,hotpot:95,178,179,structural
28,train:hotpot:95,1,hotpot:95,177,171,semantic
29,train:hotpot:95,2,hotpot:95,178,180,multi-hop
30,train:hotpot:75,1,hotpot:75,126,127,structural
31,train:hotpot:18,2,hotpot:18,28,30,multi-hop
32,train:hotpot:72,2,hotpot:72,110,113,structural
33,train:hotpot:197,0,hotpot:197,355,351,multi-hop
34,train:hotpot:127,2,hotpot:127,229,223,semantic
35,train:hotpot:18,3,hotpot:18,30,32,multi-hop
36,train:hotpot:114,1,hotpot:114,185,187,multi-hop
37,train:hotpot:184,0,hotpot:184,319,322,structural
38,train:hotpot:75,2,hotpot:75,129,125,multi-hop
39,train:hotpot:78,1,hotpot:78,136,139,semantic
40,train:hotpot:78,2,hotpot:78,141,144,structural
41,train:hotpot:95,3,hotpot:95,175,172,semantic
42,train:hotpot:127,3,hotpot:127,221,225,semantic
43,train:hotpot:184,1,hotpot:184,320,322,structural
44,train:hotpot:156,0,hotpot:156,269,271,multi-hop
45,train:hotpot:79,2,hotpot:79,152,154,structural
46,train:hotpot:198,2,hotpot:198,364,366,multi-hop
47,train:hotpot:172,2,hotpot:172,283,285,structural
