policy,k,repetitions,events,prediction_recall,mean_ready_cache_ttft_ms,mean_service_request_ms,mean_policy_ms,mean_speculative_population_ms,mean_exposed_population_ms,mean_end_to_end_ttft_ms,mean_end_to_end_request_ms,mean_completed_prefetch_mib,shadow_residency_rate,current_prefetch_hit_rate,mean_lmcache_retrieved_tokens,mean_prefetch_evictions,online_update_rate,model_short
adaptive_offline_global,10,2,1200,0.9483333333333334,58.165836905,58.26576673166667,5.205192140833333,842.61301615,842.61301615,905.9840451958332,906.0839750225,100.81526692708331,0.955,0.7483333333333333,351.7916666666667,8.09,0.0,Qwen-2.5-1.5B
adaptive_online_warm,10,2,1200,0.945,58.36801321916666,58.47039286916666,5.202429931666666,842.2588236033333,842.2588236033333,905.8292667541666,905.9316464041666,100.91434244791668,0.9516666666666668,0.7466666666666667,348.31,8.1,0.025,Qwen-2.5-1.5B
cosine,10,2,1200,0.505,70.55695441833333,70.66588650499999,0.2605152841666666,866.9852201441666,866.9852201441666,937.8026898466666,937.9116219333332,101.95809895833334,0.5516666666666666,0.4283333333333333,216.89583333333331,8.71,0.0,Qwen-2.5-1.5B
graph_fixed,10,2,1200,0.6966666666666667,64.47339872333333,64.57416194666666,5.4023229075,853.1154524583333,853.1154524583333,922.9911740891666,923.0919373125,101.53176432291669,0.7483333333333333,0.5683333333333334,283.63416666666666,8.486666666666666,0.0,Qwen-2.5-1.5B
no_prefetch,10,2,1200,0.0,73.79437539,73.89983598,0.007893315,0.0,0.0,73.802268705,73.907729295,0.0,0.3216666666666666,0.0,104.54583333333332,0.0,0.0,Qwen-2.5-1.5B
adaptive_offline_global,10,2,1200,0.9416666666666668,47.92109310833334,48.02022538833334,4.896388132499999,651.202696385,651.202696385,704.0201776258334,704.1193099058333,115.37645833333332,0.95,0.7516666666666667,291.33416666666665,8.326666666666666,0.0,Llama-3.2-1B
adaptive_online_warm,10,2,1200,0.9333333333333332,48.07167454833333,48.17250618916666,4.972473783333333,652.3999868550001,652.3999868550001,705.4441351866666,705.5449668275,115.400625,0.9433333333333334,0.7466666666666667,283.74583333333334,8.308333333333334,0.0516666666666666,Llama-3.2-1B
cosine,10,2,1200,0.53,54.67042438083333,54.774813181666666,0.2501421849999999,676.4554388516667,676.4554388516667,731.3760054175,731.4803942183333,116.89395833333332,0.57,0.4383333333333333,173.53166666666667,8.798333333333334,0.0,Llama-3.2-1B
graph_fixed,10,2,1200,0.7616666666666667,51.42257828333333,51.52279148666666,5.074514469166666,666.5393332824999,666.5393332824999,723.0364260349999,723.1366392383334,115.82223958333331,0.7816666666666666,0.63,246.98416666666665,8.661666666666667,0.0,Llama-3.2-1B
no_prefetch,10,2,1200,0.0,56.027816992500014,56.133111498333335,0.0067134183333333,0.0,0.0,56.03453041083332,56.13982491666667,0.0,0.285,0.0,97.81166666666668,0.0,0.0,Llama-3.2-1B
