model,policy,baseline,metric,mean_delta,ci_low,ci_high,unique_events,system_measurements,document_clusters
Qwen-2.5-1.5B,graph_fixed,cosine,prediction_hit,0.19166666666666668,0.13666666666666666,0.25,600,1200,20
Qwen-2.5-1.5B,graph_fixed,cosine,shadow_residency_hit,0.19666666666666666,0.14666666666666667,0.25166666666666665,600,1200,20
Qwen-2.5-1.5B,graph_fixed,cosine,ready_cache_ttft_ms,-6.083555695,-7.943224763354166,-4.1982615047083325,600,1200,20
Qwen-2.5-1.5B,adaptive_offline_global,cosine,prediction_hit,0.44333333333333336,0.3516666666666667,0.5283333333333333,600,1200,20
Qwen-2.5-1.5B,adaptive_offline_global,cosine,shadow_residency_hit,0.4033333333333333,0.31333333333333335,0.49004166666666604,600,1200,20
Qwen-2.5-1.5B,adaptive_offline_global,cosine,ready_cache_ttft_ms,-12.391117513333333,-14.664241090916667,-10.053931947812499,600,1200,20
Qwen-2.5-1.5B,adaptive_online_warm,cosine,prediction_hit,0.44,0.35,0.5233333333333333,600,1200,20
Qwen-2.5-1.5B,adaptive_online_warm,cosine,shadow_residency_hit,0.4,0.31162500000000004,0.485,600,1200,20
Qwen-2.5-1.5B,adaptive_online_warm,cosine,ready_cache_ttft_ms,-12.188941199166665,-14.427445647166666,-9.9617228479375,600,1200,20
Llama-3.2-1B,graph_fixed,cosine,prediction_hit,0.23166666666666666,0.15833333333333333,0.31,600,1200,20
Llama-3.2-1B,graph_fixed,cosine,shadow_residency_hit,0.21166666666666667,0.13833333333333334,0.29,600,1200,20
Llama-3.2-1B,graph_fixed,cosine,ready_cache_ttft_ms,-3.2478460975000005,-4.684332223708334,-1.8569572625208335,600,1200,20
Llama-3.2-1B,adaptive_offline_global,cosine,prediction_hit,0.4116666666666667,0.32166666666666666,0.5,600,1200,20
Llama-3.2-1B,adaptive_offline_global,cosine,shadow_residency_hit,0.38,0.2916666666666667,0.47,600,1200,20
Llama-3.2-1B,adaptive_offline_global,cosine,ready_cache_ttft_ms,-6.7493312725,-7.819837630708333,-5.631007408000001,600,1200,20
Llama-3.2-1B,adaptive_online_warm,cosine,prediction_hit,0.4033333333333333,0.315,0.49,600,1200,20
Llama-3.2-1B,adaptive_online_warm,cosine,shadow_residency_hit,0.37333333333333335,0.285,0.46166666666666667,600,1200,20
Llama-3.2-1B,adaptive_online_warm,cosine,ready_cache_ttft_ms,-6.598749832499999,-7.850318451145832,-5.462334497854166,600,1200,20
