model_short,policy,query_type,prediction_recall,ready_cache_ttft_ms
Llama-3.2-1B,adaptive_offline_global,multi-hop,0.9366666666666666,48.102107139999994
Llama-3.2-1B,adaptive_offline_global,semantic,0.92,47.560132
Llama-3.2-1B,adaptive_offline_global,structural,0.9733333333333334,47.92002615333333
Llama-3.2-1B,adaptive_online_warm,multi-hop,0.9366666666666666,48.234473396666665
Llama-3.2-1B,adaptive_online_warm,semantic,0.9066666666666666,47.39098143666667
Llama-3.2-1B,adaptive_online_warm,structural,0.9533333333333334,48.42676996333333
Llama-3.2-1B,cosine,multi-hop,0.5166666666666667,55.00908467
Llama-3.2-1B,cosine,semantic,0.5933333333333334,53.316986523333334
Llama-3.2-1B,cosine,structural,0.49333333333333335,55.34654166
Llama-3.2-1B,graph_fixed,multi-hop,0.75,51.945989493333336
Llama-3.2-1B,graph_fixed,semantic,0.7933333333333333,50.760589753333335
Llama-3.2-1B,graph_fixed,structural,0.7533333333333333,51.03774439333333
Llama-3.2-1B,no_prefetch,multi-hop,0.0,56.500608345
Llama-3.2-1B,no_prefetch,semantic,0.0,53.0331106
Llama-3.2-1B,no_prefetch,structural,0.0,58.07694067999999
Qwen-2.5-1.5B,adaptive_offline_global,multi-hop,0.9433333333333334,58.24940806
Qwen-2.5-1.5B,adaptive_offline_global,semantic,0.9466666666666669,58.715986443333335
Qwen-2.5-1.5B,adaptive_offline_global,structural,0.96,57.44854505666666
Qwen-2.5-1.5B,adaptive_online_warm,multi-hop,0.9433333333333334,58.17302370666667
Qwen-2.5-1.5B,adaptive_online_warm,semantic,0.94,58.774717163333335
Qwen-2.5-1.5B,adaptive_online_warm,structural,0.9533333333333334,58.3512883
Qwen-2.5-1.5B,cosine,multi-hop,0.49,71.40518903833333
Qwen-2.5-1.5B,cosine,semantic,0.56,68.47575243333333
Qwen-2.5-1.5B,cosine,structural,0.48,70.94168716333334
Qwen-2.5-1.5B,graph_fixed,multi-hop,0.69,64.84158159166667
Qwen-2.5-1.5B,graph_fixed,semantic,0.7133333333333334,63.182330433333334
Qwen-2.5-1.5B,graph_fixed,structural,0.6933333333333334,65.02810127666666
Qwen-2.5-1.5B,no_prefetch,multi-hop,0.0,73.599903765
Qwen-2.5-1.5B,no_prefetch,semantic,0.0,71.79789970333334
Qwen-2.5-1.5B,no_prefetch,structural,0.0,76.17979432666667
