split,m,k,policy,query_type,events,prediction_recall,candidate_coverage,mean_target_rank,median_target_rank,mean_candidate_universe,online_update_rate
dev,5,6,cosine,all,600,0.7833333333333333,1.0,13.755,3.0,1222.0,0.0
dev,5,6,cosine,multi-hop,300,0.77,1.0,13.59,3.0,1222.0,0.0
dev,5,6,cosine,semantic,150,0.9333333333333332,1.0,3.52,2.0,1222.0,0.0
dev,5,6,cosine,structural,150,0.66,1.0,24.32,4.0,1222.0,0.0
dev,5,6,offline,all,600,0.7783333333333333,0.98,4.520408163265306,4.0,21.016666666666666,0.0
dev,5,6,offline,multi-hop,300,0.7866666666666666,0.99,4.414141414141414,4.0,21.566666666666663,0.0
dev,5,6,offline,semantic,150,0.7,0.9933333333333332,5.624161073825503,5.0,21.15333333333333,0.0
dev,5,6,offline,structural,150,0.84,0.9466666666666668,3.584507042253521,3.0,19.78,0.0
dev,5,6,online,all,600,0.7966666666666666,0.98,4.869047619047619,4.0,21.016666666666666,0.1716666666666666
dev,5,6,online,multi-hop,300,0.7933333333333333,0.99,4.909090909090909,4.0,21.566666666666663,0.19
dev,5,6,online,semantic,150,0.8266666666666667,0.9933333333333332,4.973154362416107,4.0,21.15333333333333,0.1333333333333333
dev,5,6,online,structural,150,0.7733333333333333,0.9466666666666668,4.676056338028169,3.5,19.78,0.1733333333333333
dev,5,6,semantic_only,all,600,0.775,0.8066666666666666,2.7107438016528924,2.0,6.895,0.0
dev,5,6,semantic_only,multi-hop,300,0.7566666666666667,0.7866666666666666,2.7415254237288136,2.0,6.953333333333333,0.0
dev,5,6,semantic_only,semantic,150,0.94,0.9466666666666668,2.2464788732394365,2.0,7.013333333333334,0.0
dev,5,6,semantic_only,structural,150,0.6466666666666666,0.7066666666666667,3.2641509433962264,3.0,6.66,0.0
dev,5,6,structure,all,600,0.805,0.8133333333333334,3.112704918032787,3.0,7.155,0.0
dev,5,6,structure,multi-hop,300,0.7766666666666666,0.7866666666666666,3.0762711864406778,3.0,7.23,0.0
dev,5,6,structure,semantic,150,0.9466666666666668,0.9466666666666668,3.218309859154929,3.0,7.26,0.0
dev,5,6,structure,structural,150,0.72,0.7333333333333333,3.0545454545454547,3.0,6.9,0.0
dev,5,6,two_hop,all,600,0.7816666666666666,0.98,4.901360544217687,4.0,21.016666666666666,0.0
dev,5,6,two_hop,multi-hop,300,0.7733333333333333,0.99,4.946127946127946,4.0,21.566666666666663,0.0
dev,5,6,two_hop,semantic,150,0.8266666666666667,0.9933333333333332,4.610738255033557,4.0,21.15333333333333,0.0
