policy,k,repetition,query_type,events,mean_prediction_hit,median_prediction_hit,mean_target_rank,median_target_rank,mean_candidate_universe_size,median_candidate_universe_size,mean_prompt_tokens,median_prompt_tokens,mean_capacity_bytes,median_capacity_bytes,mean_ready_cache_ttft_ms,median_ready_cache_ttft_ms,mean_request_e2e_ms,median_request_e2e_ms,mean_policy_ms,median_policy_ms,mean_current_access_ttft_ms,median_current_access_ttft_ms,mean_current_access_request_ms,median_current_access_request_ms,mean_speculative_population_ms,median_speculative_population_ms,mean_available_overlap_ms,median_available_overlap_ms,mean_exposed_population_ms,median_exposed_population_ms,mean_end_to_end_ttft_ms,median_end_to_end_ttft_ms,mean_end_to_end_request_ms,median_end_to_end_request_ms,mean_prefetch_bytes_scheduled,median_prefetch_bytes_scheduled,mean_prefetch_bytes_completed,median_prefetch_bytes_completed,mean_prefetch_completion_fraction,median_prefetch_completion_fraction,mean_shadow_residency_before_prefetch,median_shadow_residency_before_prefetch,mean_shadow_residency_hit,median_shadow_residency_hit,mean_shadow_current_prefetch_hit,median_shadow_current_prefetch_hit,mean_shadow_cache_bytes_after,median_shadow_cache_bytes_after,mean_lmcache_retrieved_tokens_delta,median_lmcache_retrieved_tokens_delta,mean_lmcache_stored_tokens_delta,median_lmcache_stored_tokens_delta,mean_vllm_prefix_cache_hit_tokens_delta,median_vllm_prefix_cache_hit_tokens_delta,mean_population_request_count,median_population_request_count,mean_population_prompt_tokens,median_population_prompt_tokens,mean_predicted_count,median_predicted_count,mean_completed_prefetch_count,median_completed_prefetch_count,mean_current_insert_eviction_count,median_current_insert_eviction_count,mean_prefetch_eviction_count,median_prefetch_eviction_count,mean_target_insert_eviction_count,median_target_insert_eviction_count,mean_online_updated,median_online_updated,mean_retry_count,median_retry_count,mean_prefetch_completed_before_demand,median_prefetch_completed_before_demand,mean_request_success,median_request_success
no_prefetch,16,0,all,600,0.0,0.0,,,0.0,0.0,379.17833333333334,385.0,536870912.0,536870912.0,54.45853522833333,59.552921,54.54890782166667,59.653483,0.004851683333333334,0.004413500000000001,55.58584821333333,59.9588835,55.66639808666667,60.0408755,0.0,0.0,0.0,0.0,0.0,0.0,54.463386911666674,59.557494,54.553759504999995,59.658369500000006,0.0,0.0,0.0,0.0,1.0,1.0,0.23333333333333334,0.0,0.23333333333333334,0.0,0.0,0.0,519942253.2266667,528384000.0,80.58166666666666,0.0,237.195,384.0,74.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7633333333333333,1.0,0.0,0.0,0.7216666666666667,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
no_prefetch,16,0,multi-hop,300,0.0,0.0,,,0.0,0.0,378.71,385.0,536870912.0,536870912.0,55.14243612333333,59.6473175,55.235942246666674,59.7587215,0.0048780433333333335,0.0044785,56.126893743333326,60.1518985,56.20842721000001,60.236712,0.0,0.0,0.0,0.0,0.0,0.0,55.14731416666667,59.6520055,55.240820289999995,59.7639345,0.0,0.0,0.0,0.0,1.0,1.0,0.22,0.0,0.22,0.0,0.0,0.0,518916997.12,528384000.0,67.96,0.0,244.44,384.0,66.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666666666666667,1.0,0.0,0.0,0.7266666666666667,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
no_prefetch,16,0,semantic,150,0.0,0.0,,,0.0,0.0,379.3466666666667,385.0,536870912.0,536870912.0,52.64957622666666,58.828892499999995,52.73274936,58.920392500000005,0.00517592,0.004498,54.669379840000005,59.287793,54.74806055333333,59.3572665,0.0,0.0,0.0,0.0,0.0,0.0,52.65475214666667,58.8336915,52.737925280000006,58.9251915,0.0,0.0,0.0,0.0,1.0,1.0,0.28,0.0,0.28,0.0,0.0,0.0,520647693.6533333,528384000.0,107.32666666666667,0.0,232.55333333333334,384.0,94.80666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533333333333333,1.0,0.0,0.0,0.68,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
no_prefetch,16,0,structural,150,0.0,0.0,,,0.0,0.0,379.94666666666666,385.0,536870912.0,536870912.0,54.899692439999995,59.61847349999999,54.99099743333335,59.704891,0.004474726666666667,0.004325,55.42022552666667,59.949434499999995,55.50067737333333,60.0408755,0.0,0.0,0.0,0.0,0.0,0.0,54.90416716666667,59.622388,54.995472160000006,59.7095135,0.0,0.0,0.0,0.0,1.0,1.0,0.21333333333333335,0.0,0.21333333333333335,0.0,0.0,0.0,521287325.0133333,528384000.0,79.08,0.0,227.34666666666666,384.0,69.11333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666666666666667,1.0,0.0,0.0,0.7533333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
graph_fixed,16,0,all,600,0.925,1.0,4.241441441441442,4.0,204.76333333333332,199.0,379.17833333333334,385.0,536870912.0,536870912.0,43.89518054,34.1632935,43.97608375833333,34.2341835,3.137102996666667,2.9579315,57.714188899999996,59.0955385,57.79777638333334,59.1967185,1070.5437562283332,1114.243907,0.0,0.0,1070.5437562283332,1114.243907,1117.576039765,1161.409934,1117.6569429833332,1161.4786355,194751092.05333334,196280320.0,194751092.05333334,196280320.0,1.0,1.0,0.12166666666666667,0.0,0.9316666666666666,1.0,0.8116666666666666,1.0,529901049.17333335,530546688.0,283.66333333333336,384.0,87.98333333333333,0.0,254.04333333333332,384.0,16.0,16.0,5959.331666666667,6006.0,16.0,16.0,16.0,16.0,0.9166666666666666,1.0,14.39,16.0,0.06833333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
graph_fixed,16,0,multi-hop,300,0.9333333333333333,1.0,4.260714285714286,4.0,202.20666666666668,199.0,378.71,385.0,536870912.0,536870912.0,44.28135374,34.293237000000005,44.362391329999994,34.376671,3.131709323333333,2.9660345,58.09947140333334,59.493301,58.18335763333334,59.582271500000004,1076.3070964033332,1116.1089889999998,0.0,0.0,1076.3070964033332,1116.1089889999998,1123.7201594666667,1163.5894285,1123.8011970566668,1163.6639495,194815699.62666667,196280320.0,194815699.62666667,196280320.0,1.0,1.0,0.09666666666666666,0.0,0.9366666666666666,1.0,0.84,1.0,530502451.2,530546688.0,293.22333333333336,384.0,109.27666666666667,0.0,248.77666666666667,384.0,16.0,16.0,5961.303333333333,6006.0,16.0,16.0,16.0,16.0,0.9366666666666666,1.0,14.733333333333333,16.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
graph_fixed,16,0,semantic,150,0.9266666666666666,1.0,4.856115107913669,4.0,206.89333333333335,201.5,379.3466666666667,385.0,536870912.0,536870912.0,42.68478822666667,33.8252445,42.76420731333334,33.927189,3.1045406866666667,2.961573,56.544501499999996,58.7595225,56.626146860000006,58.8263265,1052.9364407400003,1099.5432515,0.0,0.0,1052.9364407400003,1099.5432515,1098.7257696533336,1143.9888365000002,1098.8051887399997,1144.0742685,193944616.96,195657728.0,193944616.96,195657728.0,1.0,1.0,0.16666666666666666,0.0,0.9333333333333333,1.0,0.7733333333333333,1.0,529737536.85333335,530137088.0,265.49333333333334,384.0,57.81333333333333,0.0,265.4266666666667,384.0,16.0,16.0,5934.72,5987.0,16.0,16.0,16.0,16.0,0.8933333333333333,1.0,13.9,16.0,0.06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
graph_fixed,16,0,structural,150,0.9066666666666666,1.0,3.573529411764706,3.0,207.74666666666667,202.5,379.94666666666666,385.0,536870912.0,536870912.0,44.33322645333334,34.320439,44.41534506,34.382618,3.1804526533333335,2.905536,58.11331129333334,59.0222175,58.19824340666667,59.114691,1076.6243913666667,1121.5868639999999,0.0,0.0,1076.6243913666667,1121.5868639999999,1124.1380704733335,1167.3031075,1124.2201890800002,1167.3732420000001,195428352.0,196870144.0,195428352.0,196870144.0,1.0,1.0,0.12666666666666668,0.0,0.92,1.0,0.7933333333333333,1.0,528861757.44,531152896.0,282.7133333333333,384.0,75.56666666666666,0.0,253.19333333333333,384.0,16.0,16.0,5980.0,6024.0,16.0,16.0,16.0,16.0,0.9,1.0,14.193333333333333,16.0,0.08,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_online_warm,10,0,all,600,0.9466666666666667,1.0,4.308098591549296,4.0,204.76333333333332,199.0,379.17833333333334,385.0,536870912.0,536870912.0,42.922360903333335,34.804272999999995,43.006329075,34.8783215,3.2189813133333334,3.042971,55.44990531833333,58.483250999999996,55.536569918333335,58.5641885,645.0482000233334,692.0036685,0.0,0.0,645.0482000233334,692.0036685,691.18954224,736.2708305000001,691.2735104116666,736.369571,122450356.90666667,123174912.0,122450356.90666667,123174912.0,1.0,1.0,0.18,0.0,0.955,1.0,0.775,1.0,529354315.0933333,530415616.0,297.68666666666667,384.0,110.86,0.0,275.2916666666667,384.0,10.0,10.0,3746.8883333333333,3769.0,10.0,10.0,10.0,10.0,0.82,1.0,8.346666666666666,10.0,0.045,0.0,0.051666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_online_warm,10,0,multi-hop,300,0.95,1.0,4.207017543859649,4.0,202.20666666666668,199.0,378.71,385.0,536870912.0,536870912.0,42.78897284333333,34.77159399999999,42.872244466666665,34.8548135,3.1831632599999997,3.026661,55.608309216666676,58.5237495,55.69352057666666,58.600908000000004,646.34833046,688.8564205,0.0,0.0,646.34833046,688.8564205,692.3204665633334,735.410895,692.4037381866666,735.487449,122406939.30666667,123174912.0,122406939.30666667,123174912.0,1.0,1.0,0.16666666666666666,0.0,0.9566666666666667,1.0,0.79,1.0,530561215.14666665,530726912.0,279.84,384.0,84.8,0.0,279.8066666666667,384.0,10.0,10.0,3745.5633333333335,3769.0,10.0,10.0,10.0,10.0,0.8333333333333334,1.0,8.426666666666666,10.0,0.04,0.0,0.05,0.0,0.0,0.0,1.0,1.0,1.0,1.0
