policy,k,query_type,repetitions,events,mean_prediction_hit,median_prediction_hit,mean_target_rank,median_target_rank,mean_candidate_universe_size,median_candidate_universe_size,mean_prompt_tokens,median_prompt_tokens,mean_capacity_bytes,median_capacity_bytes,mean_ready_cache_ttft_ms,median_ready_cache_ttft_ms,mean_request_e2e_ms,median_request_e2e_ms,mean_policy_ms,median_policy_ms,mean_current_access_ttft_ms,median_current_access_ttft_ms,mean_current_access_request_ms,median_current_access_request_ms,mean_speculative_population_ms,median_speculative_population_ms,mean_available_overlap_ms,median_available_overlap_ms,mean_exposed_population_ms,median_exposed_population_ms,mean_end_to_end_ttft_ms,median_end_to_end_ttft_ms,mean_end_to_end_request_ms,median_end_to_end_request_ms,mean_prefetch_bytes_scheduled,median_prefetch_bytes_scheduled,mean_prefetch_bytes_completed,median_prefetch_bytes_completed,mean_prefetch_completion_fraction,median_prefetch_completion_fraction,mean_shadow_residency_before_prefetch,median_shadow_residency_before_prefetch,mean_shadow_residency_hit,median_shadow_residency_hit,mean_shadow_current_prefetch_hit,median_shadow_current_prefetch_hit,mean_shadow_cache_bytes_after,median_shadow_cache_bytes_after,mean_lmcache_retrieved_tokens_delta,median_lmcache_retrieved_tokens_delta,mean_lmcache_stored_tokens_delta,median_lmcache_stored_tokens_delta,mean_vllm_prefix_cache_hit_tokens_delta,median_vllm_prefix_cache_hit_tokens_delta,mean_population_request_count,median_population_request_count,mean_population_prompt_tokens,median_population_prompt_tokens,mean_predicted_count,median_predicted_count,mean_completed_prefetch_count,median_completed_prefetch_count,mean_current_insert_eviction_count,median_current_insert_eviction_count,mean_prefetch_eviction_count,median_prefetch_eviction_count,mean_target_insert_eviction_count,median_target_insert_eviction_count,mean_online_updated,median_online_updated,mean_retry_count,median_retry_count,mean_prefetch_completed_before_demand,median_prefetch_completed_before_demand,mean_request_success,median_request_success
adaptive_offline_global,10,all,2,1200,0.9416666666666667,1.0,4.014159292035398,4.0,284.77666666666664,281.0,372.8883333333333,385.0,536870912.0,536870912.0,47.92109310833334,46.626989,48.02022538833334,46.74329,4.896388132499999,4.4054555,57.38890219500001,58.765956,57.48939889,58.86853,651.202696385,676.2016385,0.0,0.0,651.202696385,676.2016385,704.0201776258334,726.5519155,704.1193099058333,726.636712,120980985.17333333,121602048.0,120980985.17333333,121602048.0,1.0,1.0,0.20166666666666666,0.0,0.95,1.0,0.7516666666666667,1.0,529378454.18666667,530825216.0,291.33416666666665,384.0,107.01416666666667,0.0,271.94,384.0,10.0,10.0,3702.0466666666666,3721.0,10.0,10.0,10.0,10.0,0.8033333333333333,1.0,8.326666666666666,10.0,0.04833333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_offline_global,10,multi-hop,2,600,0.9366666666666666,1.0,3.6903914590747333,3.0,287.12666666666667,283.0,375.32,385.0,536870912.0,536870912.0,48.102107139999994,46.897466,48.20200117833334,46.980162,4.982801944999999,4.5043595,56.996342229999996,58.4443445,57.098913315000004,58.527282,652.0825499266667,676.3871489999999,0.0,0.0,652.0825499266667,676.3871489999999,705.1674590116667,726.4530084999999,705.26735305,726.5406605,121141876.05333333,122388480.0,121141876.05333333,122388480.0,1.0,1.0,0.21333333333333335,0.0,0.95,1.0,0.7366666666666667,1.0,529214231.8933333,530186240.0,281.61833333333334,384.0,103.805,0.0,269.55833333333334,384.0,10.0,10.0,3706.9566666666665,3745.0,10.0,10.0,10.0,10.0,0.7933333333333333,1.0,8.403333333333334,10.0,0.04666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_offline_global,10,semantic,2,300,0.92,1.0,5.471014492753623,5.0,280.02666666666664,278.0,366.22,385.0,536870912.0,536870912.0,47.560132,46.066779499999996,47.65585802666667,46.1653335,4.6826241699999995,4.3518194999999995,57.40616850666668,59.229834499999996,57.50428666000001,59.349319,647.6524173066667,679.2351865,0.0,0.0,647.6524173066667,679.2351865,699.8951734766666,728.171617,699.9908995033333,728.2561535,121030355.62666667,121602048.0,121030355.62666667,121602048.0,1.0,1.0,0.22,0.0,0.9266666666666666,1.0,0.72,1.0,530215294.29333335,531087360.0,302.1433333333333,384.0,116.97,0.0,265.7866666666667,384.0,10.0,10.0,3703.5533333333333,3721.0,10.0,10.0,10.0,10.0,0.7866666666666666,1.0,8.1,10.0,0.07333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_offline_global,10,structural,2,300,0.9733333333333334,1.0,3.26027397260274,3.0,284.82666666666665,287.0,374.6933333333333,385.0,536870912.0,536870912.0,47.92002615333333,46.2270245,48.021041170000004,46.311094,4.937324469999999,4.321994,58.15675581333334,58.815314,58.255482269999995,58.91697,652.99326838,672.6676465,0.0,0.0,652.99326838,672.6676465,705.8506190033333,726.152432,705.9516340199999,726.2458105000001,120609832.96,121602048.0,120609832.96,121602048.0,1.0,1.0,0.16,0.0,0.9733333333333334,1.0,0.8133333333333334,1.0,528870058.6666667,530825216.0,299.95666666666665,384.0,103.47666666666667,0.0,282.8566666666667,384.0,10.0,10.0,3690.72,3721.0,10.0,10.0,10.0,10.0,0.84,1.0,8.4,10.0,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_online_warm,10,all,2,1200,0.9333333333333333,1.0,3.930357142857143,4.0,284.77666666666664,281.0,372.8883333333333,385.0,536870912.0,536870912.0,48.071674548333334,46.212041,48.17250618916666,46.304214,4.972473783333333,4.445062500000001,57.46990484916667,58.8928155,57.569602480833346,58.9862075,652.3999868550001,675.9009395,0.0,0.0,652.3999868550001,675.9009395,705.4441351866666,725.841073,705.5449668275,725.9393625,121006325.76,121602048.0,121006325.76,121602048.0,1.0,1.0,0.19833333333333333,0.0,0.9433333333333334,1.0,0.7466666666666667,1.0,529336784.2133333,530530304.0,283.74583333333334,384.0,86.99916666666667,0.0,276.485,384.0,10.0,10.0,3702.82,3721.0,10.0,10.0,10.0,10.0,0.8116666666666666,1.0,8.308333333333334,10.0,0.055,0.0,0.051666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_online_warm,10,multi-hop,2,600,0.9366666666666666,1.0,3.619217081850534,3.0,287.12666666666667,283.0,375.32,385.0,536870912.0,536870912.0,48.234473396666665,46.524032500000004,48.335436155000004,46.604046,5.110632588333334,4.615422000000001,57.71429285333334,59.0294635,57.81361049666666,59.1509365,653.3878207416666,677.3218645,0.0,0.0,653.3878207416666,677.3218645,706.7329267266666,727.139184,706.833889485,727.2233600000001,121163066.02666667,121995264.0,121163066.02666667,121995264.0,1.0,1.0,0.21,0.0,0.95,1.0,0.74,1.0,529146292.9066667,530071552.0,298.44,384.0,87.82666666666667,0.0,284.85833333333335,384.0,10.0,10.0,3707.6033333333335,3733.0,10.0,10.0,10.0,10.0,0.8,1.0,8.373333333333333,10.0,0.04666666666666667,0.0,0.05333333333333334,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_online_warm,10,semantic,2,300,0.9066666666666666,1.0,5.382352941176471,5.0,280.02666666666664,278.0,366.22,385.0,536870912.0,536870912.0,47.390981436666664,45.172554500000004,47.488170446666665,45.2698835,4.822995093333334,4.203269,56.82526797333333,58.566590000000005,56.921205266666654,58.66166,649.6721935433334,679.987654,0.0,0.0,649.6721935433334,679.987654,701.8861700733333,724.6435655,701.9833590833333,724.735823,121054822.4,121602048.0,121054822.4,121602048.0,1.0,1.0,0.21333333333333335,0.0,0.9133333333333333,1.0,0.7066666666666667,1.0,530287165.44,531087360.0,270.9033333333333,384.0,80.39666666666666,0.0,269.0933333333333,384.0,10.0,10.0,3704.3,3721.0,10.0,10.0,10.0,10.0,0.7866666666666666,1.0,8.14,10.0,0.08666666666666667,0.0,0.06,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_online_warm,10,structural,2,300,0.9533333333333334,1.0,3.160839160839161,3.0,284.82666666666665,287.0,374.6933333333333,385.0,536870912.0,536870912.0,48.426769963333335,46.673672499999995,48.530981999999995,46.7625975,4.845634863333333,4.36479,57.62576571666667,59.090961,57.729983663333336,59.178403,653.1521123933334,672.6404204999999,0.0,0.0,653.1521123933334,672.6404204999999,706.42451722,724.632742,706.5287292566667,724.725206,120644348.58666667,121585664.0,120644348.58666667,121585664.0,1.0,1.0,0.16,0.0,0.96,1.0,0.8,1.0,528767385.6,530366464.0,267.2,384.0,91.94666666666667,0.0,267.13,384.0,10.0,10.0,3691.7733333333335,3720.5,10.0,10.0,10.0,10.0,0.86,1.0,8.346666666666666,10.0,0.04,0.0,0.04,0.0,0.0,0.0,1.0,1.0,1.0,1.0
cosine,10,all,2,1200,0.53,1.0,3.6037735849056602,3.0,917.0,917.0,372.8883333333333,385.0,536870912.0,536870912.0,54.67042438083333,58.0027255,54.774813181666666,58.100795500000004,0.25014218499999996,0.203904,60.06679668666666,62.069299,60.168270111666665,62.221514,676.4554388516667,687.9117965,0.0,0.0,676.4554388516667,687.9117965,731.3760054175,743.6406465,731.4803942183333,743.8116534999999,122572199.25333333,124026880.0,122572199.25333333,124026880.0,1.0,1.0,0.14333333333333334,0.0,0.57,1.0,0.43833333333333335,0.0,529378126.50666666,530710528.0,173.53166666666667,0.0,172.29166666666666,0.0,155.80583333333334,0.0,10.0,10.0,3750.6066666666666,3795.0,10.0,10.0,10.0,10.0,0.8783333333333333,1.0,8.798333333333334,10.0,0.44,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
cosine,10,multi-hop,2,600,0.5166666666666667,1.0,3.3483870967741933,3.0,917.0,917.0,375.32,385.0,536870912.0,536870912.0,55.00908467,58.7796265,55.11738581666667,58.857279500000004,0.25765812833333335,0.20474,60.06909886666667,62.064657499999996,60.17014759999999,62.164092999999994,676.0337555616666,687.8302074999999,0.0,0.0,676.0337555616666,687.8302074999999,731.30049836,744.5498714999999,731.4087995066667,744.6620009999999,122681098.24,124026880.0,122681098.24,124026880.0,1.0,1.0,0.14333333333333334,0.0,0.5666666666666667,1.0,0.43666666666666665,0.0,529438692.6933333,530776064.0,170.13333333333333,0.0,173.22666666666666,0.0,153.76166666666666,0.0,10.0,10.0,3753.93,3795.0,10.0,10.0,10.0,10.0,0.88,1.0,8.84,10.0,0.4533333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
