policy,k,repetition,query_type,events,mean_prediction_hit,median_prediction_hit,mean_target_rank,median_target_rank,mean_candidate_universe_size,median_candidate_universe_size,mean_prompt_tokens,median_prompt_tokens,mean_capacity_bytes,median_capacity_bytes,mean_ready_cache_ttft_ms,median_ready_cache_ttft_ms,mean_request_e2e_ms,median_request_e2e_ms,mean_policy_ms,median_policy_ms,mean_current_access_ttft_ms,median_current_access_ttft_ms,mean_current_access_request_ms,median_current_access_request_ms,mean_speculative_population_ms,median_speculative_population_ms,mean_available_overlap_ms,median_available_overlap_ms,mean_exposed_population_ms,median_exposed_population_ms,mean_end_to_end_ttft_ms,median_end_to_end_ttft_ms,mean_end_to_end_request_ms,median_end_to_end_request_ms,mean_prefetch_bytes_scheduled,median_prefetch_bytes_scheduled,mean_prefetch_bytes_completed,median_prefetch_bytes_completed,mean_prefetch_completion_fraction,median_prefetch_completion_fraction,mean_shadow_residency_before_prefetch,median_shadow_residency_before_prefetch,mean_shadow_residency_hit,median_shadow_residency_hit,mean_shadow_current_prefetch_hit,median_shadow_current_prefetch_hit,mean_shadow_cache_bytes_after,median_shadow_cache_bytes_after,mean_lmcache_retrieved_tokens_delta,median_lmcache_retrieved_tokens_delta,mean_lmcache_stored_tokens_delta,median_lmcache_stored_tokens_delta,mean_vllm_prefix_cache_hit_tokens_delta,median_vllm_prefix_cache_hit_tokens_delta,mean_population_request_count,median_population_request_count,mean_population_prompt_tokens,median_population_prompt_tokens,mean_predicted_count,median_predicted_count,mean_completed_prefetch_count,median_completed_prefetch_count,mean_current_insert_eviction_count,median_current_insert_eviction_count,mean_prefetch_eviction_count,median_prefetch_eviction_count,mean_target_insert_eviction_count,median_target_insert_eviction_count,mean_online_updated,median_online_updated,mean_retry_count,median_retry_count,mean_prefetch_completed_before_demand,median_prefetch_completed_before_demand,mean_request_success,median_request_success
adaptive_online_warm,10,0,all,600,0.9333333333333333,1.0,3.930357142857143,4.0,284.77666666666664,281.0,372.8883333333333,385.0,536870912.0,536870912.0,48.831858798333336,47.4040555,48.93559116666666,47.496559000000005,5.008522791666667,4.463182,57.63959430666667,58.907469,57.74128279000001,59.0264355,652.0870321466667,675.339401,0.0,0.0,652.0870321466667,675.339401,705.9274137366666,726.8747175,706.031146105,726.964854,121006325.76,121602048.0,121006325.76,121602048.0,1.0,1.0,0.19833333333333333,0.0,0.9433333333333334,1.0,0.7466666666666667,1.0,529336784.2133333,530530304.0,280.075,384.0,87.835,0.0,275.04833333333335,384.0,10.0,10.0,3702.82,3721.0,10.0,10.0,10.0,10.0,0.8116666666666666,1.0,8.308333333333334,10.0,0.055,0.0,0.051666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_online_warm,10,0,multi-hop,300,0.9366666666666666,1.0,3.619217081850534,3.0,287.12666666666667,283.0,375.32,385.0,536870912.0,536870912.0,49.11016178,47.0585715,49.21358953666667,47.134114499999995,5.156423873333333,4.687415,57.86173183333332,58.93428,57.963796336666675,59.050175499999995,652.9482388800001,680.6891270000001,0.0,0.0,652.9482388800001,680.6891270000001,707.2148245333333,730.8385269999999,707.31825229,730.9318165,121163066.02666667,121995264.0,121163066.02666667,121995264.0,1.0,1.0,0.21,0.0,0.95,1.0,0.74,1.0,529146292.9066667,530071552.0,293.08666666666664,384.0,80.76666666666667,0.0,284.84,384.0,10.0,10.0,3707.6033333333335,3733.0,10.0,10.0,10.0,10.0,0.8,1.0,8.373333333333333,10.0,0.04666666666666667,0.0,0.05333333333333334,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_online_warm,10,0,semantic,150,0.9066666666666666,1.0,5.382352941176471,5.0,280.02666666666664,278.0,366.22,385.0,536870912.0,536870912.0,47.717341026666666,45.606983,47.82020292,45.728275499999995,4.8204697266666665,4.2780655,56.94727076,58.793369999999996,57.040355506666664,58.874516,649.4014159666667,673.2783835,0.0,0.0,649.4014159666667,673.2783835,701.93922672,724.0738635,702.0420886133334,724.1693445,121054822.4,121602048.0,121054822.4,121602048.0,1.0,1.0,0.21333333333333335,0.0,0.9133333333333333,1.0,0.7066666666666667,1.0,530287165.44,531087360.0,275.35333333333335,384.0,85.59333333333333,0.0,271.81333333333333,384.0,10.0,10.0,3704.3,3721.0,10.0,10.0,10.0,10.0,0.7866666666666666,1.0,8.14,10.0,0.08666666666666667,0.0,0.06,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_online_warm,10,0,structural,150,0.9533333333333334,1.0,3.160839160839161,3.0,284.82666666666665,287.0,374.6933333333333,385.0,536870912.0,536870912.0,49.389770606666666,48.768462,49.494982673333325,48.997766,4.900773693333333,4.2684169999999995,57.887642799999995,59.224788000000004,57.99718298,59.326701,653.05023486,672.4215465,0.0,0.0,653.05023486,672.4215465,707.34077916,724.632742,707.4459912266667,724.725206,120644348.58666667,121585664.0,120644348.58666667,121585664.0,1.0,1.0,0.16,0.0,0.96,1.0,0.8,1.0,528767385.6,530366464.0,258.7733333333333,384.0,104.21333333333334,0.0,258.7,384.0,10.0,10.0,3691.7733333333335,3720.5,10.0,10.0,10.0,10.0,0.86,1.0,8.346666666666666,10.0,0.04,0.0,0.04,0.0,0.0,0.0,1.0,1.0,1.0,1.0
graph_fixed,10,0,all,600,0.7616666666666667,1.0,4.035010940919038,4.0,284.77666666666664,281.0,372.8883333333333,385.0,536870912.0,536870912.0,51.595041425,53.042601,51.69499508333333,53.1374895,5.172176291666666,4.6282045,59.14609402166666,60.530159,59.249980155,60.674043,667.963088555,682.0651905,0.0,0.0,667.963088555,682.0651905,724.7303062716666,737.2694140000001,724.83025993,737.3614379999999,121448420.69333333,121602048.0,121448420.69333333,121602048.0,1.0,1.0,0.155,0.0,0.7816666666666666,1.0,0.63,1.0,529134059.52,530219008.0,241.49833333333333,384.0,138.85833333333332,0.0,220.29333333333332,383.0,10.0,10.0,3716.3116666666665,3721.0,10.0,10.0,10.0,10.0,0.8516666666666667,1.0,8.661666666666667,10.0,0.21333333333333335,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
graph_fixed,10,0,multi-hop,300,0.75,1.0,3.8266666666666667,3.0,287.12666666666667,283.0,375.32,385.0,536870912.0,536870912.0,52.205872973333335,53.873693,52.30387943,54.116304,5.237110063333333,4.642369,58.58195944666667,59.91485,58.681749780000004,59.998409499999994,667.1689753933332,680.8639895,0.0,0.0,667.1689753933332,680.8639895,724.6119584300001,735.587901,724.7099648866666,735.684771,121528647.68,121602048.0,121528647.68,121602048.0,1.0,1.0,0.15,0.0,0.77,1.0,0.6233333333333333,1.0,528759848.96,529858560.0,233.88,384.0,130.46666666666667,0.0,220.17,383.0,10.0,10.0,3718.76,3721.0,10.0,10.0,10.0,10.0,0.8533333333333334,1.0,8.763333333333334,10.0,0.23,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
graph_fixed,10,0,semantic,150,0.7933333333333333,1.0,4.899159663865547,5.0,280.02666666666664,278.0,366.22,385.0,536870912.0,536870912.0,50.84085506666666,51.483256,50.939891540000005,51.5746275,4.97486058,4.368626000000001,59.46337016666667,61.5446035,59.57979963333334,61.6513635,664.0868460533334,681.973517,0.0,0.0,664.0868460533334,681.973517,719.9025617,737.0846765,720.0015981733334,737.179805,121385997.65333334,121569280.0,121385997.65333334,121569280.0,1.0,1.0,0.19333333333333333,0.0,0.82,1.0,0.6333333333333333,1.0,529990724.26666665,530628608.0,249.55333333333334,336.0,144.06,0.0,217.95333333333335,328.0,10.0,10.0,3714.4066666666668,3720.0,10.0,10.0,10.0,10.0,0.8466666666666667,1.0,8.466666666666667,10.0,0.17333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
graph_fixed,10,0,structural,150,0.7533333333333333,1.0,3.5398230088495577,3.0,284.82666666666665,287.0,374.6933333333333,385.0,536870912.0,536870912.0,51.127564686666666,51.8699015,51.232329933333325,51.9526215,5.23962446,4.9066035,59.95708702666667,60.547871,60.05662142666665,60.689469,673.4275573799998,684.6161705,0.0,0.0,673.4275573799998,684.6161705,729.7947465266666,741.8792109999999,729.8995117733334,741.9717985,121350389.76,121602048.0,121350389.76,121602048.0,1.0,1.0,0.12666666666666668,0.0,0.7666666666666667,1.0,0.64,1.0,529025815.8933333,530825216.0,248.68,384.0,150.44,0.0,222.88,384.0,10.0,10.0,3713.32,3721.0,10.0,10.0,10.0,10.0,0.8533333333333334,1.0,8.653333333333334,10.0,0.22,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_offline_global,10,0,all,600,0.9416666666666667,1.0,4.014159292035398,4.0,284.77666666666664,281.0,372.8883333333333,385.0,536870912.0,536870912.0,48.59381441666667,47.4936965,48.69384973666667,47.589923999999996,5.033994301666667,4.597711500000001,57.40620046666668,59.0664845,57.50762872666666,59.16,654.887700255,680.210851,0.0,0.0,654.887700255,680.210851,708.5155089733335,729.2914014999999,708.6155442933333,729.401589,120980985.17333333,121602048.0,120980985.17333333,121602048.0,1.0,1.0,0.20166666666666666,0.0,0.95,1.0,0.7516666666666667,1.0,529378454.18666667,530825216.0,282.6983333333333,384.0,94.405,0.0,274.11333333333334,384.0,10.0,10.0,3702.0466666666666,3721.0,10.0,10.0,10.0,10.0,0.8033333333333333,1.0,8.326666666666666,10.0,0.04833333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_offline_global,10,0,multi-hop,300,0.9366666666666666,1.0,3.6903914590747333,3.0,287.12666666666667,283.0,375.32,385.0,536870912.0,536870912.0,48.41478013333333,47.7616615,48.514466503333324,47.862654500000005,5.0934103466666665,4.6493995,57.29875484333332,58.906488,57.40038882666666,59.0200995,655.0364465266667,681.1757455,0.0,0.0,655.0364465266667,681.1757455,708.5446370066667,730.3592615,708.6443233766665,730.4501725,121141876.05333333,122388480.0,121141876.05333333,122388480.0,1.0,1.0,0.21333333333333335,0.0,0.95,1.0,0.7366666666666667,1.0,529214231.8933333,530186240.0,275.62666666666667,384.0,82.29333333333334,0.0,275.56,384.0,10.0,10.0,3706.9566666666665,3745.0,10.0,10.0,10.0,10.0,0.7933333333333333,1.0,8.403333333333334,10.0,0.04666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
