m,graph,directed_edges,mean_degree,median_degree,p95_degree,max_degree
5,semantic_plus_structure,8442,6.902698282910875,6.0,10.0,18
5,semantic_only,8060,6.590351594439902,6.0,10.0,17
10,semantic_plus_structure,15574,12.734260016353229,12.0,19.0,34
10,semantic_only,15372,12.56909239574816,12.0,18.0,34
15,semantic_plus_structure,23482,19.200327064595257,18.0,28.0,55
15,semantic_only,23344,19.087489779231397,18.0,28.0,55
20,semantic_plus_structure,31458,25.721995094031072,24.0,37.0,67
20,semantic_only,31336,25.622240392477515,24.0,37.0,67
25,semantic_plus_structure,39252,32.09484873262469,30.0,46.0,76
25,semantic_only,39148,32.00981193785773,30.0,46.0,76
30,semantic_plus_structure,46900,38.348323793949305,36.0,54.0,88
30,semantic_only,46808,38.27309893704007,36.0,54.0,88
