m,k,policy,baseline,paired_events,document_clusters,mean_recall_delta,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high
5,6,offline,cosine,600,20,0.075,0.013333333333333334,0.13666666666666666
5,6,online,cosine,600,20,0.058333333333333334,0.015,0.1
5,6,semantic_only,cosine,600,20,0.008333333333333333,-0.016666666666666666,0.03333333333333333
5,6,structure,cosine,600,20,0.02666666666666667,0.0,0.056666666666666664
5,6,two_hop,cosine,600,20,0.04833333333333333,0.003291666666666681,0.09166666666666666
10,6,offline,cosine,600,20,0.10666666666666667,0.05333333333333334,0.16
10,6,online,cosine,600,20,0.058333333333333334,0.018333333333333333,0.09666666666666666
10,6,semantic_only,cosine,600,20,0.0,0.0,0.0
10,6,structure,cosine,600,20,0.09,0.065,0.11666666666666667
10,6,two_hop,cosine,600,20,0.06333333333333334,0.02829166666666668,0.09833333333333333
15,6,offline,cosine,600,20,0.115,0.056666666666666664,0.17
15,6,online,cosine,600,20,0.085,0.045,0.12833333333333333
15,6,semantic_only,cosine,600,20,0.0,0.0,0.0
15,6,structure,cosine,600,20,0.11666666666666667,0.08166666666666667,0.15666666666666668
15,6,two_hop,cosine,600,20,0.06333333333333334,0.02666666666666667,0.09666666666666666
20,6,offline,cosine,600,20,0.10833333333333334,0.055,0.16
20,6,online,cosine,600,20,0.07333333333333333,0.03166666666666667,0.115
20,6,semantic_only,cosine,600,20,0.0,0.0,0.0
20,6,structure,cosine,600,20,0.12166666666666667,0.08166666666666667,0.16666666666666666
20,6,two_hop,cosine,600,20,0.06333333333333334,0.026625000000000017,0.1
25,6,offline,cosine,600,20,0.12333333333333334,0.06333333333333334,0.185
25,6,online,cosine,600,20,0.09666666666666666,0.051666666666666666,0.14166666666666666
25,6,semantic_only,cosine,600,20,0.0,0.0,0.0
25,6,structure,cosine,600,20,0.12333333333333334,0.08333333333333333,0.17166666666666666
25,6,two_hop,cosine,600,20,0.07,0.03166666666666667,0.10666666666666667
30,6,offline,cosine,600,20,0.12166666666666667,0.06333333333333334,0.18166666666666667
30,6,online,cosine,600,20,0.09666666666666666,0.051666666666666666,0.14166666666666666
30,6,semantic_only,cosine,600,20,0.0,0.0,0.0
30,6,structure,cosine,600,20,0.12333333333333334,0.085,0.17
30,6,two_hop,cosine,600,20,0.07333333333333333,0.035,0.11
5,10,offline,cosine,600,20,0.13166666666666665,0.075,0.19
5,10,online,cosine,600,20,0.11333333333333333,0.056666666666666664,0.17166666666666666
5,10,semantic_only,cosine,600,20,-0.075,-0.10833333333333334,-0.041666666666666664
5,10,structure,cosine,600,20,-0.06333333333333334,-0.09666666666666666,-0.03
5,10,two_hop,cosine,600,20,0.04666666666666667,0.015,0.08
10,10,offline,cosine,600,20,0.14,0.08833333333333333,0.19333333333333333
10,10,online,cosine,600,20,0.12833333333333333,0.08333333333333333,0.175
10,10,semantic_only,cosine,600,20,0.0,0.0,0.0
10,10,structure,cosine,600,20,0.02666666666666667,0.011666666666666667,0.045
10,10,two_hop,cosine,600,20,0.07833333333333334,0.043333333333333335,0.11166666666666666
15,10,offline,cosine,600,20,0.14666666666666667,0.09166666666666666,0.205
15,10,online,cosine,600,20,0.145,0.09166666666666666,0.20333333333333334
15,10,semantic_only,cosine,600,20,0.0,0.0,0.0
15,10,structure,cosine,600,20,0.06166666666666667,0.03666666666666667,0.09166666666666666
15,10,two_hop,cosine,600,20,0.08666666666666667,0.05,0.12333333333333334
