event_id,session_id,step_id,document_id,current_chunk_id,target_chunk_id,query_type
0,train:hotpot:25,0,hotpot:25,183,188,semantic
1,train:hotpot:48,0,hotpot:48,282,285,semantic
2,train:hotpot:47,0,hotpot:47,272,274,multi-hop
3,train:hotpot:1,0,hotpot:1,12,14,multi-hop
4,train:hotpot:168,0,hotpot:168,1016,1023,multi-hop
5,train:hotpot:102,0,hotpot:102,623,631,semantic
6,train:hotpot:90,0,hotpot:90,558,553,semantic
7,train:hotpot:138,0,hotpot:138,865,860,semantic
8,train:hotpot:94,0,hotpot:94,566,567,structural
9,train:hotpot:85,0,hotpot:85,515,518,structural
10,train:hotpot:137,0,hotpot:137,853,856,semantic
11,train:hotpot:139,0,hotpot:139,872,874,multi-hop
12,train:hotpot:35,0,hotpot:35,229,232,multi-hop
13,train:hotpot:110,0,hotpot:110,676,678,multi-hop
14,train:hotpot:56,0,hotpot:56,358,355,multi-hop
15,train:hotpot:94,1,hotpot:94,569,566,semantic
16,train:hotpot:136,0,hotpot:136,835,840,semantic
17,train:hotpot:98,0,hotpot:98,594,597,multi-hop
18,train:hotpot:176,0,hotpot:176,1066,1063,multi-hop
19,train:hotpot:99,0,hotpot:99,605,607,structural
20,train:hotpot:55,0,hotpot:55,338,341,semantic
21,train:hotpot:54,0,hotpot:54,326,334,semantic
22,train:hotpot:139,1,hotpot:139,878,875,multi-hop
23,train:hotpot:29,0,hotpot:29,199,200,structural
24,train:hotpot:74,0,hotpot:74,463,465,multi-hop
25,train:hotpot:86,0,hotpot:86,532,525,semantic
26,train:hotpot:179,0,hotpot:179,1094,1095,structural
27,train:hotpot:74,1,hotpot:74,463,467,multi-hop
28,train:hotpot:56,1,hotpot:56,360,357,semantic
29,train:hotpot:29,1,hotpot:29,199,196,semantic
30,train:hotpot:85,1,hotpot:85,513,516,multi-hop
31,train:hotpot:176,1,hotpot:176,1068,1063,semantic
32,train:hotpot:25,1,hotpot:25,187,188,structural
33,train:hotpot:115,0,hotpot:115,706,708,structural
34,train:hotpot:1,1,hotpot:1,18,21,multi-hop
35,train:hotpot:29,2,hotpot:29,192,201,semantic
36,train:hotpot:126,0,hotpot:126,763,765,multi-hop
37,train:hotpot:74,2,hotpot:74,469,472,multi-hop
38,train:hotpot:57,0,hotpot:57,370,372,structural
39,train:hotpot:140,0,hotpot:140,883,894,semantic
40,train:hotpot:54,1,hotpot:54,329,331,multi-hop
41,train:hotpot:54,2,hotpot:54,330,327,semantic
42,train:hotpot:16,0,hotpot:16,109,111,structural
43,train:hotpot:179,1,hotpot:179,1092,1094,multi-hop
44,train:hotpot:176,2,hotpot:176,1063,1069,semantic
45,train:hotpot:160,0,hotpot:160,973,975,structural
