k,policy,baseline,metric,mean_delta,ci_low,ci_high,n
10,adaptive_offline_global,cosine,em,-0.08333333333333333,-0.18333333333333332,0.016666666666666666,60
10,adaptive_offline_global,cosine,f1,-0.0765134322734942,-0.17833462864678037,0.021977722082985186,60
10,adaptive_offline_global,cosine,support_recall,-0.020833333333333332,-0.07083333333333333,0.029166666666666667,60
10,adaptive_offline_global,cosine,target_hit,-0.1,-0.18333333333333332,-0.03333333333333333,60
10,adaptive_online_warm,cosine,em,-0.08333333333333333,-0.18333333333333332,0.0,60
10,adaptive_online_warm,cosine,f1,-0.0827039084639704,-0.1841983971366324,0.011609259259259245,60
10,adaptive_online_warm,cosine,support_recall,-0.020833333333333332,-0.07083333333333333,0.029166666666666667,60
10,adaptive_online_warm,cosine,target_hit,-0.1,-0.18333333333333332,-0.03333333333333333,60
10,graph_fixed,cosine,em,-0.1,-0.2,-0.016666666666666666,60
10,graph_fixed,cosine,f1,-0.08934046468829078,-0.18523763515067865,-0.0006582125603865188,60
10,graph_fixed,cosine,support_recall,-0.041666666666666664,-0.09166666666666666,0.004166666666666667,60
10,graph_fixed,cosine,target_hit,-0.1,-0.18333333333333332,-0.03333333333333333,60
