k,policy,baseline,metric,mean_delta,ci_low,ci_high,n
10,adaptive_offline_global,cosine,em,0.06666666666666667,-0.03333333333333333,0.16666666666666666,60
10,adaptive_offline_global,cosine,f1,0.05892275820853073,-0.03962023120945869,0.1616222545219638,60
10,adaptive_offline_global,cosine,support_recall,0.002777777777777781,-0.06805555555555555,0.07222222222222223,60
10,adaptive_offline_global,cosine,target_hit,-0.016666666666666666,-0.13333333333333333,0.1,60
10,adaptive_online_warm,cosine,em,0.03333333333333333,-0.05,0.11666666666666667,60
10,adaptive_online_warm,cosine,f1,0.005695510416065555,-0.08121190937615355,0.09446541643423677,60
10,adaptive_online_warm,cosine,support_recall,-0.0055555555555555506,-0.07083333333333333,0.05694444444444446,60
10,adaptive_online_warm,cosine,target_hit,-0.03333333333333333,-0.13333333333333333,0.06666666666666667,60
10,graph_fixed,cosine,em,0.05,-0.05,0.15,60
10,graph_fixed,cosine,f1,0.047795077515632646,-0.057373151432838235,0.15483498668227663,60
10,graph_fixed,cosine,support_recall,0.005555555555555562,-0.06527777777777778,0.07364583333333283,60
10,graph_fixed,cosine,target_hit,0.0,-0.11666666666666667,0.13333333333333333,60
