dataset,provider,top_m,n,n_expected,partial,cosine_em,cosine_f1,cosine_wins,graph_em,graph_f1,graph_wins,adaptive_em,adaptive_f1,adaptive_wins,ties
2wiki,gemini,12,60,60,False,0.3,0.37088333333333334,5,0.3,0.3843250000000001,8,0.23333333333333334,0.28850166666666666,2,45
2wiki,gemini,20,55,60,True,0.2909090909090909,0.3788636363636364,5,0.21818181818181817,0.30849999999999994,3,0.2545454545454545,0.3193072727272728,5,42
hotpot,gemini,5,60,60,False,0.23333333333333334,0.36274333333333336,6,0.21666666666666667,0.34877166666666665,3,0.2,0.26216500000000004,1,50
hotpot,gemini,8,60,60,False,0.23333333333333334,0.37061499999999997,5,0.23333333333333334,0.3328583333333333,4,0.2,0.295715,2,49
hotpot,gemini,12,60,60,False,0.25,0.37623500000000004,7,0.23333333333333334,0.3323466666666667,4,0.18333333333333332,0.269535,0,49
hotpot,gemini,20,60,60,False,0.23333333333333334,0.37434,10,0.21666666666666667,0.3324616666666666,5,0.2,0.30537,2,43
hotpot,openai-groq,12,60,60,False,0.18333333333333332,0.368875,6,0.18333333333333332,0.3615833333333334,5,0.15,0.3339466666666667,3,46
hotpot,openai-groq,20,60,60,False,0.18333333333333332,0.37859999999999994,8,0.13333333333333333,0.32341,6,0.13333333333333333,0.31742000000000004,3,43
multifield,openai-groq,12,60,60,False,0.16666666666666666,0.4556483333333334,3,0.16666666666666666,0.469535,9,0.11666666666666667,0.38436666666666663,2,46
multifield,openai-groq,20,29,60,True,0.13793103448275862,0.4115068965517241,6,0.10344827586206896,0.3477137931034483,1,0.06896551724137931,0.31186206896551727,0,22
musique,gemini,12,60,60,False,0.18333333333333332,0.22380833333333333,10,0.11666666666666667,0.136995,2,0.13333333333333333,0.16437166666666667,4,44
musique,gemini,20,60,60,False,0.18333333333333332,0.21757833333333335,9,0.13333333333333333,0.15573,3,0.1,0.13060333333333332,2,46
