model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,adaptive_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,adp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,adaptive_n_tokens,flops_saved_cosine,flops_saved_graph,flops_saved_adaptive,embed_time_s,graph_build_time_s,adp_alpha_semantic,adp_beta_semantic,adp_alpha_structural,adp_beta_structural,adp_alpha_multihop,adp_beta_multihop
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,0,structural,187.6315,55.2352,73.0174,71.5564,0,0,1,0,361,361,361,361,22419382272,22419382272,22419382272,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,1,multi-hop,269.8467,45.5412,47.433,47.8886,0,1,1,0,242,265,290,291,12080947200,14467891200,14567841792,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,2,multi-hop,86.1961,55.5924,46.9595,50.4009,0,1,0,0,294,336,263,220,19421724672,11899281408,8326348800,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,3,semantic,102.821,76.2393,73.1215,131.5892,0,1,1,1,362,381,381,381,24972337152,24972337152,24972337152,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,4,structural,87.364,39.7696,60.1492,41.9317,0,0,0,1,380,353,380,380,21436735488,24841420800,24841420800,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,5,multi-hop,81.9586,46.7307,47.3076,42.6186,0,1,1,1,321,352,352,279,21315452928,21315452928,13391142912,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,6,structural,104.8246,42.1562,44.6365,49.8278,0,0,0,0,341,317,329,341,17287323648,18620915712,20004052992,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,7,multi-hop,139.8686,59.6901,59.8539,53.2395,0,0,0,0,326,326,326,268,18282872832,18282872832,12356026368,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,8,multi-hop,90.0619,61.769,55.4592,49.8542,0,1,0,0,309,335,287,233,19306291200,14170103808,9339445248,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,9,structural,82.6517,54.1279,56.0685,60.7433,0,0,1,0,294,350,306,350,21073920000,16108388352,21073920000,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,10,multi-hop,68.3156,37.5961,40.3013,41.8414,0,1,0,0,264,60,267,267,619315200,12263989248,12263989248,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,11,semantic,68.5346,42.5702,41.8849,44.3517,0,1,0,1,262,338,338,338,19653623808,19653623808,19653623808,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,12,semantic,81.2791,51.4676,59.8816,57.2194,0,1,0,0,272,174,304,304,5208440832,15898509312,15898509312,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,13,semantic,85.3611,48.2347,48.6246,41.8898,0,1,1,1,299,298,297,279,15277129728,15174770688,13391142912,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,14,multi-hop,45.1126,40.6639,41.3594,40.1108,0,1,0,0,158,185,239,266,5887795200,9826639872,12172296192,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,15,structural,100.0321,72.5535,65.5181,40.0802,0,1,1,1,353,382,382,382,25103597568,25103597568,25103597568,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,16,structural,74.8658,39.988,40.2846,38.6991,0,1,1,1,288,352,352,279,21315452928,21315452928,13391142912,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,17,semantic,65.6366,40.9539,38.0644,38.1663,0,1,1,1,257,11,21,21,20815872,75866112,75866112,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,18,semantic,121.286,69.8527,68.4,66.3286,0,1,0,0,369,383,383,383,25235202048,25235202048,25235202048,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,19,multi-hop,87.7411,48.7248,46.5208,39.364,0,0,0,0,315,315,315,315,17069875200,17069875200,17069875200,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,20,multi-hop,90.7116,59.9937,51.6499,50.3145,0,0,0,1,333,363,371,371,22668484608,23678656512,23678656512,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,21,multi-hop,74.0995,49.6549,54.8569,49.477,0,1,0,0,278,340,313,342,19886899200,16853803008,20121550848,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,Tesla T4,42,HotpotQA,3,16,22,structural,90.3305,50.0813,50.2248,42.0012,0,1,1,1,348,347,346,323,20714201088,20594982912,17947926528,2.121,0.094,0.9,0.1,0.35,0.65,0.35,0.65
