model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,flops_saved_cosine,flops_saved_graph,embed_time_s,graph_build_time_s
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,0,structural,138.0273,115.3596,97.3103,0,0,0,99,320,355,53687091200,66073395200,5.522,0.058
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,1,multi-hop,135.1222,118.0268,48.1422,0,0,0,116,372,372,72553070592,72553070592,5.522,0.058
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,2,multi-hop,67.1977,0.0,120.8163,0,1,0,83,334,339,58487472128,60251701248,5.522,0.058
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,3,semantic,68.0472,0.0,58.6525,0,1,0,86,316,295,52353302528,45626163200,5.522,0.058
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,4,structural,101.6077,102.4668,86.221,0,0,0,64,320,258,53687091200,34898706432,5.522,0.058
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,5,multi-hop,62.7529,0.0,72.1499,0,1,0,109,365,365,69848268800,69848268800,5.522,0.058
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,6,structural,94.3924,70.0962,142.8383,0,0,0,156,412,412,88994742272,88994742272,5.522,0.058
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,7,multi-hop,99.4239,140.7031,58.3698,0,0,0,137,393,393,80975757312,80975757312,5.522,0.058
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,8,multi-hop,101.9336,0.0,88.565,0,1,0,104,360,360,67947724800,67947724800,5.522,0.058
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,9,structural,69.8073,31.2916,52.5462,0,0,0,97,353,353,65331003392,65331003392,5.522,0.058
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,10,multi-hop,94.845,0.0,100.6418,0,1,0,132,388,318,78928412672,53018099712,5.522,0.058
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,11,semantic,137.2355,0.0,0.0,0,1,1,91,347,347,63128993792,63128993792,5.522,0.058
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,12,semantic,117.4708,0.0,81.0012,0,1,0,110,366,366,70231523328,70231523328,5.522,0.058
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,13,semantic,33.7127,0.0,81.4016,0,1,0,27,270,283,38220595200,41989701632,5.522,0.058
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,14,multi-hop,126.3799,0.0,111.039,0,1,0,98,316,316,52353302528,52353302528,5.522,0.058
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,15,structural,110.137,112.2844,0.0,0,0,1,43,227,296,27016036352,45936017408,5.522,0.058
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,16,structural,81.9474,100.4663,108.1485,0,0,0,109,365,365,69848268800,69848268800,5.522,0.058
