model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,adaptive_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,adp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,adaptive_n_tokens,flops_saved_cosine,flops_saved_graph,flops_saved_adaptive,embed_time_s,graph_build_time_s,adp_alpha_semantic,adp_beta_semantic,adp_alpha_structural,adp_beta_structural,adp_alpha_multihop,adp_beta_multihop
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,0,structural,42.5324,0.0,0.0,17.0748,0,1,1,0,109,365,280,356,22918963200,13487308800,21802647552,5.308,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,1,multi-hop,16.881,16.4532,17.5464,16.7531,0,0,0,0,77,289,333,333,14368284672,19076456448,19076456448,5.308,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,2,multi-hop,17.5542,0.0,17.6864,17.2647,0,1,0,0,108,364,364,364,22793551872,22793551872,22793551872,5.308,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,3,semantic,33.396,0.0,17.6219,0.0,0,1,0,1,98,354,354,354,21558362112,21558362112,21558362112,5.308,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,4,structural,17.8154,30.896,17.3432,41.8311,0,0,0,0,52,308,308,308,16319643648,16319643648,16319643648,5.308,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,5,multi-hop,17.0459,0.0,0.0,0.0,0,1,1,1,51,307,307,307,16213843968,16213843968,16213843968,5.308,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,6,structural,45.7856,19.1865,46.5631,45.7601,0,0,0,0,96,352,332,352,21315452928,18962055168,21315452928,5.308,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,7,multi-hop,18.6458,19.2511,30.312,19.6365,0,0,0,0,142,398,398,398,27250556928,27250556928,27250556928,5.308,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,8,multi-hop,17.9184,0.0,18.3118,45.4038,0,1,0,0,83,339,339,339,19770089472,19770089472,19770089472,5.308,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,9,structural,17.4433,17.6161,23.6205,17.9797,0,0,0,0,33,289,289,232,14368284672,14368284672,9259450368,5.308,0.025,0.9,0.1,0.35,0.65,0.35,0.65
