model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,adaptive_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,adp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,adaptive_n_tokens,flops_saved_cosine,flops_saved_graph,flops_saved_adaptive,embed_time_s,graph_build_time_s,adp_alpha_semantic,adp_beta_semantic,adp_alpha_structural,adp_beta_structural,adp_alpha_multihop,adp_beta_multihop
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,0,structural,25.9289,17.4946,0.0,29.3847,0,0,1,0,105,361,361,361,22419382272,22419382272,22419382272,7.72,0.02,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,1,multi-hop,44.2498,0.0,0.0,20.365,0,1,1,0,35,265,290,291,12080947200,14467891200,14567841792,7.72,0.02,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,2,multi-hop,19.3019,0.0,36.7656,25.3363,0,1,0,0,106,336,263,220,19421724672,11899281408,8326348800,7.72,0.02,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,3,semantic,22.6162,0.0,0.0,0.0,0,1,1,1,125,381,381,381,24972337152,24972337152,24972337152,7.72,0.02,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,4,structural,28.5046,24.8601,26.9899,0.0,0,0,0,1,124,353,380,380,21436735488,24841420800,24841420800,7.72,0.02,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,5,multi-hop,41.721,0.0,0.0,0.0,0,1,1,1,96,352,352,279,21315452928,21315452928,13391142912,7.72,0.02,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,6,structural,33.9236,17.1473,39.6261,33.3567,0,0,0,0,85,317,329,341,17287323648,18620915712,20004052992,7.72,0.02,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,7,multi-hop,36.5163,40.4662,35.9412,26.7974,0,0,0,0,70,326,326,268,18282872832,18282872832,12356026368,7.72,0.02,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,8,multi-hop,24.0788,0.0,31.8346,41.6787,0,1,0,0,79,335,287,233,19306291200,14170103808,9339445248,7.72,0.02,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,9,structural,49.8885,40.6887,0.0,41.9965,0,0,1,0,94,350,306,350,21073920000,16108388352,21073920000,7.72,0.02,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,10,multi-hop,22.0595,0.0,29.1661,48.503,0,1,0,0,11,60,267,267,619315200,12263989248,12263989248,7.72,0.02,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,11,semantic,55.5729,0.0,20.5121,0.0,0,1,0,1,82,338,338,338,19653623808,19653623808,19653623808,7.72,0.02,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,12,semantic,41.3091,0.0,39.6956,19.8032,0,1,0,0,48,174,304,304,5208440832,15898509312,15898509312,7.72,0.02,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,13,semantic,19.8613,0.0,0.0,0.0,0,1,1,1,43,298,297,279,15277129728,15174770688,13391142912,7.72,0.02,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,14,multi-hop,27.3834,0.0,21.5909,20.2153,0,1,0,0,23,185,239,266,5887795200,9826639872,12172296192,7.72,0.02,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,15,structural,38.1283,0.0,0.0,0.0,0,1,1,1,126,382,382,382,25103597568,25103597568,25103597568,7.72,0.02,0.9,0.1,0.35,0.65,0.35,0.65
