model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,adaptive_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,adp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,adaptive_n_tokens,flops_saved_cosine,flops_saved_graph,flops_saved_adaptive,embed_time_s,graph_build_time_s,adp_alpha_semantic,adp_beta_semantic,adp_alpha_structural,adp_beta_structural,adp_alpha_multihop,adp_beta_multihop
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,0,structural,22.8582,41.1423,17.4991,17.6087,0,0,0,0,100,356,337,337,21802647552,19537502208,19537502208,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,1,multi-hop,45.2493,31.3279,28.7142,17.4993,0,0,0,0,120,351,376,339,21194514432,24321196032,19770089472,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,2,multi-hop,48.6253,0.0,17.2775,42.7708,0,1,0,0,123,379,379,379,24710848512,24710848512,24710848512,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,3,semantic,17.3822,0.0,46.1031,0.0,0,1,0,1,35,234,250,265,9419784192,10752000000,12080947200,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,4,structural,41.3435,0.0,0.0,0.0,0,1,1,1,4,232,260,260,9259450368,11629363200,11629363200,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,5,multi-hop,47.7801,0.0,39.5394,16.4935,0,1,0,0,19,275,257,275,13009920000,11362541568,13009920000,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,6,structural,17.0965,41.1573,18.0416,17.7218,0,0,0,0,119,375,375,375,24192000000,24192000000,24192000000,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,7,multi-hop,45.4109,15.3828,43.9535,16.1419,0,0,0,0,7,234,263,263,9419784192,11899281408,11899281408,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,8,multi-hop,17.0868,0.0,0.0,48.9,0,1,1,0,127,383,383,364,25235202048,25235202048,22793551872,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,9,structural,16.3464,0.0,30.2366,17.3029,0,1,0,0,67,323,323,239,17947926528,17947926528,9826639872,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,10,multi-hop,39.0553,0.0,0.0,28.0386,0,1,1,0,122,313,313,269,16853803008,16853803008,12448407552,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
