model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,adaptive_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,adp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,adaptive_n_tokens,flops_saved_cosine,flops_saved_graph,flops_saved_adaptive,embed_time_s,graph_build_time_s,adp_alpha_semantic,adp_beta_semantic,adp_alpha_structural,adp_beta_structural,adp_alpha_multihop,adp_beta_multihop
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,0,structural,31.0563,56.8015,0.0,30.9539,0,0,1,0,105,361,361,361,38433226752,38433226752,38433226752,5.641,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,1,multi-hop,54.7403,0.0,0.0,47.5156,0,1,1,0,35,265,290,291,20710195200,24802099200,24973443072,5.641,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,2,multi-hop,47.5589,0.0,29.8053,51.2313,0,1,0,0,106,336,263,220,33294385152,20398768128,14273740800,5.641,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,3,semantic,50.0767,0.0,0.0,0.0,0,1,1,1,125,381,381,381,42809720832,42809720832,42809720832,5.641,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,4,structural,58.7454,60.3972,58.3733,0.0,0,0,0,1,124,353,380,380,36748689408,42585292800,42585292800,5.641,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,5,multi-hop,54.7436,0.0,0.0,0.0,0,1,1,1,96,352,352,279,36540776448,36540776448,22956244992,5.641,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,6,structural,48.0794,29.3552,46.5211,52.7595,0,0,0,0,85,317,329,341,29635411968,31921569792,34292662272,5.641,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,7,multi-hop,54.9259,31.0786,31.0869,52.9635,0,0,0,0,70,326,326,268,31342067712,31342067712,21181759488,5.641,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,8,multi-hop,30.0932,0.0,53.612,30.1616,0,1,0,0,79,335,287,233,33096499200,24291606528,16010477568,5.641,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,9,structural,38.2758,54.7988,0.0,30.1167,0,0,1,0,94,350,306,350,36126720000,27614380032,36126720000,5.641,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,10,multi-hop,26.7269,0.0,59.6238,27.7856,0,1,0,0,11,60,267,267,1061683200,21023981568,21023981568,5.641,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,11,semantic,26.7135,0.0,27.5226,0.0,0,1,0,1,82,338,338,338,33691926528,33691926528,33691926528,5.641,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,12,semantic,34.445,0.0,33.9305,30.7017,0,1,0,0,48,174,304,304,8928755712,27254587392,27254587392,5.641,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,13,semantic,27.2762,0.0,0.0,0.0,0,1,1,1,43,298,297,279,26189365248,26013892608,22956244992,5.641,0.019,0.9,0.1,0.35,0.65,0.35,0.65
