model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,adaptive_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,adp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,adaptive_n_tokens,flops_saved_cosine,flops_saved_graph,flops_saved_adaptive,embed_time_s,graph_build_time_s,adp_alpha_semantic,adp_beta_semantic,adp_alpha_structural,adp_beta_structural,adp_alpha_multihop,adp_beta_multihop
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,0,structural,31.6867,32.0207,47.2429,30.0474,0,0,0,0,100,356,337,337,37375967232,33492860928,33492860928,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,1,multi-hop,31.2014,46.3274,45.1257,34.6957,0,0,0,0,120,351,376,339,36333453312,41693478912,33891581952,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,2,multi-hop,35.3819,0.0,31.5867,33.9984,0,1,0,0,123,379,379,379,42361454592,42361454592,42361454592,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,3,semantic,32.6434,0.0,30.6192,0.0,0,1,0,1,35,234,250,265,16148201472,18432000000,20710195200,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,4,structural,48.0493,0.0,0.0,0.0,0,1,1,1,4,232,260,260,15873343488,19936051200,19936051200,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,5,multi-hop,31.0221,0.0,29.3257,31.8201,0,1,0,0,19,275,257,275,22302720000,19478642688,22302720000,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,6,structural,33.2408,38.0391,31.2431,31.5384,0,0,0,0,119,375,375,375,41472000000,41472000000,41472000000,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,7,multi-hop,34.8284,25.9998,39.7031,26.9807,0,0,0,0,7,234,263,263,16148201472,20398768128,20398768128,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,8,multi-hop,30.8702,0.0,0.0,29.7713,0,1,1,0,127,383,383,364,43260346368,43260346368,39074660352,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,9,structural,29.0712,0.0,34.6256,29.0396,0,1,0,0,67,323,323,239,30767874048,30767874048,16845668352,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,10,multi-hop,36.7546,0.0,0.0,29.1575,0,1,1,0,122,313,313,269,28892233728,28892233728,21340127232,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,11,semantic,33.1151,0.0,29.4712,28.7894,0,1,0,0,90,280,346,322,23121100800,35305684992,30577655808,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,12,semantic,32.7483,0.0,32.0891,30.5365,0,1,0,0,31,271,269,269,21658632192,21340127232,21340127232,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,13,semantic,29.3264,0.0,46.9335,33.1886,0,1,0,0,107,342,333,356,34494087168,32702496768,37375967232,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,14,multi-hop,41.4354,0.0,30.0787,28.8033,0,1,0,0,121,377,377,377,41915547648,41915547648,41915547648,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,15,structural,24.7663,25.9429,25.9838,32.1915,0,0,0,0,129,385,385,385,43713331200,43713331200,43713331200,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,16,structural,30.2543,34.0629,30.9228,33.5671,0,0,0,0,19,275,257,275,22302720000,19478642688,22302720000,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,17,semantic,29.892,0.0,32.3834,0.0,0,1,0,1,62,318,318,318,29822681088,29822681088,29822681088,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,18,semantic,34.3358,0.0,29.8693,0.0,0,1,0,1,114,370,370,370,40373452800,40373452800,40373452800,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,19,multi-hop,29.4508,28.0431,28.6522,28.0595,0,0,0,0,39,295,295,295,25664716800,25664716800,25664716800,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,20,multi-hop,37.7598,28.5563,28.6257,35.714,0,0,0,0,77,333,333,333,32702496768,32702496768,32702496768,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,21,multi-hop,35.8064,29.6941,48.7206,42.1818,0,0,0,0,110,366,366,366,39505231872,39505231872,39505231872,5.57,0.025,0.9,0.1,0.35,0.65,0.35,0.65
