model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,adaptive_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,adp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,adaptive_n_tokens,flops_saved_cosine,flops_saved_graph,flops_saved_adaptive,embed_time_s,graph_build_time_s,adp_alpha_semantic,adp_beta_semantic,adp_alpha_structural,adp_beta_structural,adp_alpha_multihop,adp_beta_multihop
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,0,structural,46.5138,0.0,0.0,27.7401,0,1,1,0,105,361,275,350,15613498368,9060480000,14676480000,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,1,multi-hop,37.742,47.447,70.5364,73.8778,0,0,0,0,78,287,334,334,9868465152,13365301248,13365301248,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,2,multi-hop,29.6081,0.0,29.2678,33.9879,0,1,0,0,105,361,361,361,15613498368,15613498368,15613498368,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,3,semantic,38.784,0.0,43.9967,0.0,0,1,0,1,99,355,355,355,15098803200,15098803200,15098803200,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,4,structural,28.5728,28.675,29.3072,27.4706,0,0,0,0,53,309,309,309,11439387648,11439387648,11439387648,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,5,multi-hop,68.1594,0.0,0.0,0.0,0,1,1,1,48,304,304,304,11072176128,11072176128,11072176128,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,6,structural,27.8744,27.0236,26.9346,67.7249,0,0,0,0,91,347,323,347,14425961472,12499448832,14425961472,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,7,multi-hop,27.763,68.3336,28.5028,27.1583,0,0,0,0,147,403,403,403,19457897472,19457897472,19457897472,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,8,multi-hop,32.1948,0.0,79.6671,78.138,0,1,0,0,82,338,338,338,13687345152,13687345152,13687345152,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,9,structural,45.3798,27.3174,27.8504,36.0241,0,0,0,0,34,290,290,233,10075852800,10075852800,6504256512,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,10,multi-hop,100.1848,0.0,0.0,0.0,0,1,1,1,2,11,9,59,14496768,9704448,417051648,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,11,semantic,45.5215,0.0,47.4156,79.8304,0,1,0,0,105,257,124,199,7913198592,1842167808,4744516608,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,12,semantic,63.2801,0.0,30.3927,79.6611,0,1,0,0,113,369,369,369,16313177088,16313177088,16313177088,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,13,semantic,60.0353,57.7926,29.3117,38.0674,0,0,0,0,101,294,294,305,10355724288,10355724288,11145139200,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,14,multi-hop,79.6646,0.0,62.2162,27.3096,0,1,0,0,103,359,359,359,15440974848,15440974848,15440974848,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,15,structural,31.9248,64.6216,74.7767,36.8693,0,0,0,0,78,334,334,334,13365301248,13365301248,13365301248,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,16,structural,27.9097,51.1126,30.6759,74.8059,0,0,0,0,87,343,343,343,14095291392,14095291392,14095291392,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,17,semantic,37.2936,0.0,70.5986,76.9935,0,1,0,0,112,368,368,368,16224878592,16224878592,16224878592,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,18,semantic,38.662,0.0,0.0,0.0,0,1,1,1,8,51,153,51,311620608,2804585472,311620608,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,19,multi-hop,49.2262,48.1916,29.1656,69.899,0,0,0,0,2,7,7,7,5870592,5870592,5870592,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,20,multi-hop,28.9015,0.0,0.0,0.0,0,1,1,1,105,328,328,233,12889423872,12889423872,6504256512,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,21,multi-hop,31.7778,0.0,27.0644,31.2264,0,1,0,0,14,217,240,240,5641638912,6900940800,6900940800,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,22,structural,55.0287,89.81,0.0,0.0,0,0,1,1,12,18,268,268,38817792,8605089792,8605089792,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,23,semantic,27.3538,53.4002,29.7497,0.0,0,0,0,1,27,283,283,283,9595302912,9595302912,9595302912,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,24,semantic,64.5532,0.0,0.0,0.0,0,1,1,1,139,395,395,395,18693043200,18693043200,18693043200,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,25,multi-hop,44.3889,0.0,27.2286,78.1544,0,1,0,0,100,356,282,350,15183986688,9527611392,14676480000,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,26,multi-hop,41.2923,0.0,0.0,26.9265,0,1,1,0,105,361,361,361,15613498368,15613498368,15613498368,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,27,multi-hop,34.5611,41.0369,0.0,0.0,0,0,1,1,28,159,284,284,3028866048,9663234048,9663234048,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,28,semantic,61.3681,0.0,0.0,0.0,0,1,1,1,41,297,243,237,10568143872,7074542592,6729495552,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,29,structural,27.93,46.3853,39.7303,27.7912,0,0,0,0,4,9,9,131,9704448,9704448,2056025088,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,30,multi-hop,27.3015,0.0,0.0,82.5336,0,1,1,0,102,358,358,358,15355072512,15355072512,15355072512,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,31,multi-hop,27.3206,0.0,76.7013,59.5687,0,1,0,0,149,405,405,403,19651507200,19651507200,19457897472,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,32,semantic,28.0193,0.0,26.416,27.0213,0,1,0,0,116,351,372,372,14760465408,16579510272,16579510272,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,33,structural,56.3667,28.4878,43.6643,43.8053,0,0,0,0,49,239,264,305,6843552768,8350138368,11145139200,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,34,structural,28.8467,47.7642,31.4479,26.8138,0,0,0,0,29,271,271,266,8798819328,8798819328,8477134848,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,3,16,35,semantic,0.0,0.0,0.0,0.0,1,1,1,1,102,358,358,358,15355072512,15355072512,15355072512,6.054,0.032,0.9,0.1,0.35,0.65,0.35,0.65
