model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,adaptive_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,adp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,adaptive_n_tokens,flops_saved_cosine,flops_saved_graph,flops_saved_adaptive,embed_time_s,graph_build_time_s,adp_alpha_semantic,adp_beta_semantic,adp_alpha_structural,adp_beta_structural,adp_alpha_multihop,adp_beta_multihop
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,0,structural,29.9138,37.2447,0.0,30.9831,0,0,1,0,102,358,358,358,15355072512,15355072512,15355072512,5.638,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,1,multi-hop,30.9752,0.0,0.0,47.6105,0,1,1,0,35,270,288,291,8734003200,9937354752,10145461248,5.638,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,2,multi-hop,35.7638,0.0,28.2687,28.225,0,1,0,0,104,335,257,217,13445452800,7913198592,5641638912,5.638,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,3,semantic,51.7961,0.0,0.0,0.0,0,1,1,1,129,385,385,385,17758540800,17758540800,17758540800,5.638,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,4,structural,27.8574,31.0337,64.8891,0.0,0,0,0,1,124,350,380,380,14676480000,17300275200,17300275200,5.638,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,5,multi-hop,40.4049,0.0,0.0,0.0,0,1,1,1,96,352,352,272,14844690432,14844690432,8863875072,5.638,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,6,structural,73.9144,66.2011,31.7315,73.0658,0,0,0,0,82,314,324,338,11812589568,12576964608,13687345152,5.638,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,7,multi-hop,28.8469,62.3557,40.1934,64.696,0,0,0,0,71,327,327,260,12810949632,12810949632,8099020800,5.638,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,8,multi-hop,30.2068,0.0,75.5108,27.2283,0,1,0,0,76,332,287,230,13205716992,9868465152,6337843200,5.638,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,9,structural,28.9891,38.1472,0.0,33.1545,0,0,1,0,93,349,303,349,14592734208,10999452672,14592734208,5.638,0.022,0.9,0.1,0.35,0.65,0.35,0.65
