model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,adaptive_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,adp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,adaptive_n_tokens,flops_saved_cosine,flops_saved_graph,flops_saved_adaptive,embed_time_s,graph_build_time_s,adp_alpha_semantic,adp_beta_semantic,adp_alpha_structural,adp_beta_structural,adp_alpha_multihop,adp_beta_multihop
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,0,structural,65.9413,34.6032,29.8468,81.8415,0,0,0,0,99,320,355,355,12268339200,15098803200,15098803200,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,1,multi-hop,28.3097,29.5058,27.7474,64.869,0,0,0,0,116,372,372,372,16579510272,16579510272,16579510272,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,2,multi-hop,30.6657,0.0,28.8818,29.3211,0,1,0,0,83,334,339,339,13365301248,13768455168,13768455168,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,3,semantic,28.4972,0.0,26.9882,53.8415,0,1,0,0,86,316,313,316,11963547648,11737469952,11963547648,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,4,structural,37.181,27.5153,27.2844,42.1731,0,0,0,0,64,320,258,290,12268339200,7974899712,10075852800,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,5,multi-hop,76.2947,0.0,29.4616,41.2931,0,1,0,0,109,365,365,365,15961420800,15961420800,15961420800,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,6,structural,79.7742,28.7007,29.0928,0.0,0,0,0,1,156,412,412,412,20336689152,20336689152,20336689152,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,7,multi-hop,30.5585,65.4003,46.8437,0.0,0,0,0,1,137,393,393,393,18504225792,18504225792,18504225792,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,8,multi-hop,27.9105,0.0,46.9831,29.3877,0,1,0,0,104,360,360,360,15527116800,15527116800,15527116800,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,9,structural,30.0525,57.0438,27.8427,37.0392,0,0,0,0,97,353,353,353,14929155072,14929155072,14929155072,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,10,multi-hop,75.1965,0.0,81.8645,59.6586,0,1,0,0,132,388,318,318,18036375552,12115464192,12115464192,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,11,semantic,63.8672,0.0,0.0,0.0,0,1,1,1,91,347,347,347,14425961472,14425961472,14425961472,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,12,semantic,77.0463,0.0,27.7477,84.4644,0,1,0,0,110,366,366,366,16049000448,16049000448,16049000448,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,13,semantic,29.5558,0.0,79.9756,29.2502,0,1,0,0,27,270,283,283,8734003200,9595302912,9595302912,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,14,multi-hop,58.1219,0.0,52.405,78.9933,0,1,0,0,98,316,227,321,11963547648,6173586432,12345136128,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,15,structural,81.4839,49.9374,0.0,81.2795,0,0,1,0,43,227,296,277,6173586432,10497097728,9192748032,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,16,structural,30.3566,27.9696,78.4438,76.5438,0,0,0,0,109,365,365,365,15961420800,15961420800,15961420800,6.618,0.022,0.9,0.1,0.35,0.65,0.35,0.65
