model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,adaptive_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,adp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,adaptive_n_tokens,flops_saved_cosine,flops_saved_graph,flops_saved_adaptive,embed_time_s,graph_build_time_s,adp_alpha_semantic,adp_beta_semantic,adp_alpha_structural,adp_beta_structural,adp_alpha_multihop,adp_beta_multihop
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,0,structural,37.6406,51.5346,33.5601,29.4493,0,0,0,0,102,358,343,343,15355072512,14095291392,14095291392,5.915,0.025,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,1,multi-hop,47.1719,29.9532,30.3816,41.943,0,0,0,0,119,349,375,334,14592734208,16848000000,13365301248,5.915,0.025,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,2,multi-hop,44.6298,0.0,46.3814,29.3826,0,1,0,0,124,380,380,380,17300275200,17300275200,17300275200,5.915,0.025,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,3,semantic,31.4508,0.0,66.4948,0.0,0,1,0,1,33,229,245,260,6282851328,7191475200,8099020800,5.915,0.025,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,4,structural,38.0905,0.0,0.0,0.0,0,1,1,1,4,216,260,260,5589762048,8099020800,8099020800,5.915,0.025,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,5,multi-hop,88.0569,0.0,65.2499,48.4062,0,1,0,0,18,274,252,274,8994705408,7608287232,8994705408,5.915,0.025,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,6,structural,51.0223,76.7574,39.6236,79.5899,0,0,0,0,115,371,371,371,16490492928,16490492928,16490492928,5.915,0.025,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,7,multi-hop,36.4574,89.709,41.8295,71.9543,0,0,0,0,9,232,265,265,6448545792,8413516800,8413516800,5.915,0.025,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,8,multi-hop,43.1964,0.0,0.0,86.7247,0,1,1,0,129,385,385,366,17758540800,17758540800,16049000448,5.915,0.025,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,9,structural,71.2246,0.0,37.445,51.6993,0,1,0,0,68,324,324,245,12576964608,12576964608,7191475200,5.915,0.025,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,10,multi-hop,28.9355,0.0,0.0,32.5102,0,1,1,0,119,309,309,265,11439387648,11439387648,8413516800,5.915,0.025,0.9,0.1,0.35,0.65,0.35,0.65
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,11,semantic,28.6479,0.0,30.1194,27.763,0,1,0,0,88,262,344,306,8224100352,14177599488,11218341888,5.915,0.025,0.9,0.1,0.35,0.65,0.35,0.65
