model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,adaptive_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,adp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,adaptive_n_tokens,flops_saved_cosine,flops_saved_graph,flops_saved_adaptive,embed_time_s,graph_build_time_s,adp_alpha_semantic,adp_beta_semantic,adp_alpha_structural,adp_beta_structural,adp_alpha_multihop,adp_beta_multihop
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,0,structural,19.749,17.0542,15.6332,16.8533,0,0,0,0,103,338,359,359,14974189568,16892690432,16892690432,7.764,0.023,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,1,multi-hop,27.6432,20.5887,32.8619,21.8486,0,0,0,0,115,371,371,371,18040881152,18040881152,18040881152,7.764,0.023,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,2,multi-hop,21.1677,0.0,35.6152,19.6068,0,1,0,0,92,348,348,348,15873343488,15873343488,15873343488,7.764,0.023,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,3,semantic,15.8095,0.0,31.4791,54.2353,0,1,0,0,86,322,320,322,13590069248,13421772800,13590069248,7.764,0.023,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,4,structural,26.759,50.9164,28.7761,23.0445,0,0,0,0,66,322,270,305,13590069248,9555148800,12192972800,7.764,0.023,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,5,multi-hop,29.9394,0.0,23.6737,20.5696,0,1,0,0,115,371,371,371,18040881152,18040881152,18040881152,7.764,0.023,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,6,structural,21.2916,16.8702,22.5829,0.0,0,0,0,1,150,406,406,406,21605384192,21605384192,21605384192,7.764,0.023,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,7,multi-hop,25.8317,31.606,60.4147,0.0,0,0,0,1,145,401,401,401,21076508672,21076508672,21076508672,7.764,0.023,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,8,multi-hop,55.0212,0.0,21.6066,19.1748,0,1,0,0,109,365,365,365,17462067200,17462067200,17462067200,7.764,0.023,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,9,structural,32.4814,23.8439,28.4389,54.7465,0,0,0,0,100,356,356,356,16611540992,16611540992,16611540992,7.764,0.023,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,10,multi-hop,39.5955,0.0,20.5789,40.2943,0,1,0,0,128,384,314,314,19327352832,12923174912,12923174912,7.764,0.023,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,11,semantic,45.257,0.0,0.0,0.0,0,1,1,1,89,345,345,345,15600844800,15600844800,15600844800,7.764,0.023,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,12,semantic,23.5118,0.0,28.4265,56.972,0,1,0,0,114,370,370,370,17943756800,17943756800,17943756800,7.764,0.023,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,13,semantic,33.3295,0.0,21.7105,18.2832,0,1,0,0,28,273,284,284,9768665088,10571743232,10571743232,7.764,0.023,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,3,16,14,multi-hop,20.6092,0.0,18.6295,46.5318,0,1,0,0,102,325,235,335,13844480000,7238451200,14709555200,7.764,0.023,0.9,0.1,0.35,0.65,0.35,0.65
