model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,adaptive_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,adp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,adaptive_n_tokens,flops_saved_cosine,flops_saved_graph,flops_saved_adaptive,embed_time_s,graph_build_time_s,adp_alpha_semantic,adp_beta_semantic,adp_alpha_structural,adp_beta_structural,adp_alpha_multihop,adp_beta_multihop
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,0,structural,25.659,26.7012,30.6675,23.2465,0,0,0,0,101,357,338,338,16704995328,14974189568,14974189568,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,1,multi-hop,31.4486,34.4904,23.8472,22.5648,0,0,0,0,116,341,372,323,15241183232,18138267648,13674610688,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,2,multi-hop,27.5146,0.0,23.9705,23.5016,0,1,0,0,115,371,371,371,18040881152,18040881152,18040881152,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,3,semantic,24.198,0.0,22.7442,0.0,0,1,0,1,36,228,242,266,6813646848,7676100608,9274130432,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,4,structural,30.0276,0.0,0.0,0.0,0,1,1,1,5,221,261,261,6401687552,8928755712,8928755712,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,5,multi-hop,25.3464,0.0,23.5668,17.7704,0,1,0,0,20,276,251,276,9984540672,8257667072,9984540672,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,6,structural,21.7888,19.9066,39.0969,22.2396,0,0,0,0,114,356,370,370,16611540992,17943756800,17943756800,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,7,multi-hop,25.3636,18.8995,19.2479,35.2629,0,0,0,0,8,229,264,264,6873546752,9135194112,9135194112,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,8,multi-hop,24.8851,0.0,0.0,27.7788,0,1,1,0,128,384,384,365,19327352832,19327352832,17462067200,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,9,structural,29.7865,0.0,23.9543,31.6972,0,1,0,0,60,316,316,232,13088325632,13088325632,7054819328,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,10,multi-hop,24.2013,0.0,0.0,40.8135,0,1,1,0,119,296,296,258,11484004352,11484004352,8724676608,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,11,semantic,26.1203,0.0,35.9669,28.0558,0,1,0,0,91,281,347,317,10349576192,15782248448,13171294208,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,12,semantic,33.0364,0.0,31.5932,28.8632,0,1,0,0,32,264,263,263,9135194112,9066119168,9066119168,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,13,semantic,25.6593,0.0,15.1324,16.2363,0,1,0,0,104,325,317,336,13844480000,13171294208,14797504512,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,14,multi-hop,15.7792,0.0,24.711,37.9858,0,1,0,0,115,361,371,371,17081434112,18040881152,18040881152,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,15,structural,28.0813,24.0081,30.8401,39.3985,0,0,0,0,124,380,380,380,18926796800,18926796800,18926796800,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,16,structural,38.9402,32.0986,24.0173,24.0243,0,0,0,0,20,276,251,276,9984540672,8257667072,9984540672,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,17,semantic,36.4801,0.0,20.5323,0.0,0,1,0,1,63,319,319,319,13338017792,13338017792,13338017792,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,18,semantic,34.5741,0.0,19.4485,0.0,0,1,0,1,110,366,366,366,17557880832,17557880832,17557880832,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,19,multi-hop,14.4236,14.9346,41.7821,20.1651,0,0,0,0,38,294,271,284,11329339392,9626058752,10571743232,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,20,multi-hop,16.6978,20.7635,27.652,18.5995,0,0,0,0,75,331,331,331,14360379392,14360379392,14360379392,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,21,multi-hop,29.8997,28.2202,28.7415,24.9183,0,0,0,0,103,359,359,359,16892690432,16892690432,16892690432,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,22,structural,19.43,18.0807,37.3878,18.2272,0,0,0,0,112,368,368,368,17750294528,17750294528,17750294528,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,23,semantic,24.5918,0.0,0.0,0.0,0,1,1,1,93,311,349,349,12677414912,15964700672,15964700672,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,24,semantic,39.1911,0.0,0.0,0.0,0,1,1,1,124,380,380,380,18926796800,18926796800,18926796800,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,25,multi-hop,25.7192,0.0,0.0,22.7171,0,1,1,0,50,306,306,249,12273057792,12273057792,8126595072,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,26,multi-hop,28.606,0.0,0.0,29.1015,0,1,1,0,69,325,321,205,13844480000,13505789952,5508300800,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,27,multi-hop,22.3966,17.8622,17.9294,0.0,0,0,0,1,104,360,360,303,16986931200,16986931200,12033589248,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,28,semantic,20.8878,0.0,20.204,41.9768,0,1,0,0,114,328,370,370,14101250048,17943756800,17943756800,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,29,structural,26.7679,25.5547,24.9526,29.9383,0,0,0,0,116,372,302,302,18138267648,11954290688,11954290688,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,30,multi-hop,24.8658,0.0,27.8283,33.5959,0,1,0,0,108,364,364,364,17366515712,17366515712,17366515712,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,31,multi-hop,27.688,0.0,0.0,30.0781,0,1,1,0,47,303,303,303,12033589248,12033589248,12033589248,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,32,semantic,0.0,0.0,0.0,0.0,1,1,1,1,17,234,273,273,7176978432,9768665088,9768665088,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,33,structural,20.9459,31.0814,23.8661,39.0199,0,0,0,0,87,318,343,307,13254524928,15420489728,12353404928,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,34,structural,27.7587,27.6365,32.0407,26.2136,0,0,0,0,140,312,248,248,12759072768,8061452288,8061452288,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,35,semantic,0.0,0.0,0.0,0.0,1,1,1,1,112,368,368,368,17750294528,17750294528,17750294528,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,36,structural,13.621,0.0,0.0,0.0,0,1,1,1,109,356,356,356,16611540992,16611540992,16611540992,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,37,multi-hop,21.3711,0.0,16.8431,37.2859,0,1,0,0,106,362,361,361,17176199168,17081434112,17081434112,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,38,multi-hop,22.0438,0.0,24.071,24.1041,0,1,0,0,126,382,382,382,19126550528,19126550528,19126550528,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,39,multi-hop,23.1273,22.4469,30.385,0.0,0,0,0,1,112,368,346,329,17750294528,15691415552,14187364352,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,40,semantic,31.8069,0.0,37.5812,24.9866,0,1,0,0,106,322,362,362,13590069248,17176199168,17176199168,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,41,multi-hop,34.5063,38.4033,36.0349,0.0,0,0,0,1,108,364,364,364,17366515712,17366515712,17366515712,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,42,semantic,32.5541,0.0,0.0,0.0,0,1,1,1,101,357,338,343,16704995328,14974189568,15420489728,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,43,semantic,15.2428,0.0,0.0,0.0,0,1,1,1,5,128,171,84,2147483648,3832676352,924844032,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,44,multi-hop,30.5251,29.781,36.0441,32.753,0,0,0,0,130,386,386,310,19529203712,19529203712,12596019200,5.571,0.024,0.9,0.1,0.35,0.65,0.35,0.65
