model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,flops_saved_cosine,flops_saved_graph,embed_time_s,graph_build_time_s
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,0,structural,65.7998,52.6624,22.9659,0,0,0,102,358,358,67194847232,67194847232,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,1,multi-hop,25.1029,0.0,0.0,0,1,1,35,270,288,38220595200,43486543872,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,2,multi-hop,53.2972,0.0,0.0,0,1,1,104,335,331,58838220800,57441517568,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,3,semantic,30.2802,0.0,0.0,0,1,1,129,385,385,77712588800,77712588800,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,4,structural,23.3487,27.975,23.5546,0,0,0,124,350,380,64225280000,75707187200,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,5,multi-hop,28.1849,0.0,0.0,0,1,1,96,352,352,64961380352,64961380352,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,6,structural,71.8085,72.8715,30.2545,0,0,0,82,314,324,51692699648,55037657088,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,7,multi-hop,25.9301,77.6534,23.1119,0,0,0,71,327,327,56061591552,56061591552,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,8,multi-hop,30.2071,0.0,0.0,0,1,1,76,332,284,57789120512,42286972928,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,9,structural,26.5799,73.8941,0.0,0,0,1,93,349,349,63858802688,63858802688,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,10,multi-hop,23.7149,0.0,25.5366,0,1,0,12,62,268,2015363072,37656461312,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,11,semantic,27.8046,0.0,22.5124,0,1,0,81,337,337,59542863872,59542863872,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,12,semantic,24.5151,0.0,31.4376,0,1,0,49,173,247,15691415552,31986286592,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,13,semantic,76.7124,0.0,0.0,0,1,1,40,294,294,45317357568,45317357568,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,14,multi-hop,33.2578,0.0,23.8069,0,1,0,24,183,280,17557880832,41104179200,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,15,structural,31.3992,0.0,0.0,0,1,1,127,383,383,76907282432,76907282432,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,16,structural,25.7443,0.0,0.0,0,1,1,96,352,352,64961380352,64961380352,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,17,semantic,79.2319,0.0,0.0,0,1,1,2,12,23,75497472,277348352,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,18,semantic,64.099,0.0,78.3848,0,1,0,126,382,382,76506202112,76506202112,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,19,multi-hop,84.5777,28.9606,84.9134,0,0,0,60,316,316,52353302528,52353302528,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,20,multi-hop,78.1654,30.6085,31.243,0,0,0,120,373,376,72943665152,74121740288,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,21,multi-hop,26.102,0.0,25.7008,0,1,0,85,337,334,59542863872,58487472128,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,22,structural,34.3991,0.0,0.0,0,1,1,88,341,314,60964732928,51692699648,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,23,semantic,81.1582,0.0,0.0,0,1,1,72,325,306,55377920000,49092231168,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,24,semantic,24.7876,0.0,73.7186,0,1,0,127,383,383,76907282432,76907282432,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,25,multi-hop,26.5809,0.0,0.0,0,1,1,26,282,282,41693478912,41693478912,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,26,multi-hop,65.3498,0.0,32.1341,0,1,0,82,338,213,59896758272,23786422272,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,27,multi-hop,25.7005,89.2875,0.0,0,0,1,122,378,358,74912366592,67194847232,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,28,semantic,80.6807,0.0,26.1478,0,1,0,75,331,331,57441517568,57441517568,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,29,structural,67.9298,23.5357,37.1722,0,0,0,75,287,331,43185078272,57441517568,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,30,multi-hop,28.1312,0.0,22.2477,0,1,0,14,247,262,31986286592,35989225472,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,31,multi-hop,34.802,0.0,76.5712,0,1,0,91,321,328,54023159808,56405000192,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,32,semantic,25.4413,0.0,0.0,0,1,1,119,375,375,73728000000,73728000000,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,33,structural,37.0076,24.1374,75.9258,0,0,0,87,270,270,38220595200,38220595200,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,34,structural,45.2089,60.168,61.121,0,0,0,96,352,352,64961380352,64961380352,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,35,semantic,0.0,0.0,58.9683,1,1,0,14,247,262,31986286592,35989225472,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,36,structural,76.3668,25.049,79.2698,0,0,0,100,349,356,63858802688,66446163968,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,37,multi-hop,72.0332,0.0,0.0,0,1,1,81,321,337,54023159808,59542863872,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,38,multi-hop,62.6947,81.1694,26.345,0,0,0,109,365,365,69848268800,69848268800,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,39,multi-hop,75.3419,68.3099,89.749,0,0,0,81,337,337,59542863872,59542863872,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,40,semantic,76.8931,0.0,72.2612,0,1,0,96,352,352,64961380352,64961380352,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,41,multi-hop,50.1705,91.1094,0.0,0,0,1,95,301,306,47501017088,49092231168,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,42,semantic,61.27,0.0,66.1885,0,1,0,102,358,358,67194847232,67194847232,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,43,semantic,92.314,0.0,0.0,0,1,1,84,296,297,45936017408,46246920192,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,44,multi-hop,33.2651,69.9291,54.511,0,0,0,95,328,264,56405000192,36540776448,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,45,structural,32.2783,82.7216,40.9929,0,0,0,93,349,349,63858802688,63858802688,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,46,structural,64.5978,0.0,0.0,0,1,1,127,383,383,76907282432,76907282432,8.157,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,3,16,47,semantic,0.0,0.0,0.0,1,1,1,9,265,265,36818124800,36818124800,8.157,0.018
