model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,flops_saved_cosine,flops_saved_graph,embed_time_s,graph_build_time_s
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,0,structural,55.6341,53.7896,41.9893,0,0,0,102,358,343,67194847232,61681958912,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,1,multi-hop,41.5131,35.1948,37.0851,0,0,0,119,349,375,63858802688,73728000000,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,2,multi-hop,56.3429,0.0,62.2628,0,1,0,124,380,380,75707187200,75707187200,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,3,semantic,38.7758,0.0,61.3038,0,1,0,33,229,245,27494187008,31470387200,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,4,structural,52.3316,0.0,0.0,0,1,1,4,216,260,24461180928,35441868800,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,5,multi-hop,50.5766,0.0,50.4977,0,1,0,18,274,268,39361445888,37656461312,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,6,structural,64.9838,40.5293,72.6228,0,0,0,115,371,371,72163524608,72163524608,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,7,multi-hop,76.0849,57.1654,34.2216,0,0,0,9,232,265,28219277312,36818124800,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,8,multi-hop,42.4939,0.0,0.0,0,1,1,129,385,385,77712588800,77712588800,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,9,structural,45.9093,0.0,40.5063,0,1,0,68,324,324,55037657088,55037657088,8.615,0.03
