model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,flops_saved_cosine,flops_saved_graph,embed_time_s,graph_build_time_s
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,0,structural,19.3055,32.8768,41.85,0,0,0,101,357,338,16704995328,14974189568,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,1,multi-hop,25.7607,19.7192,17.9437,0,0,0,116,341,372,15241183232,18138267648,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,2,multi-hop,22.5004,0.0,21.5635,0,1,0,115,371,371,18040881152,18040881152,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,3,semantic,19.1742,0.0,50.2287,0,1,0,36,228,242,6813646848,7676100608,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,4,structural,18.2709,0.0,0.0,0,1,1,5,221,261,6401687552,8928755712,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,5,multi-hop,59.9856,0.0,35.9568,0,1,0,20,276,271,9984540672,9626058752,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,6,structural,22.4837,25.6773,28.3463,0,0,0,114,356,370,16611540992,17943756800,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,7,multi-hop,25.5057,18.27,26.1639,0,0,0,8,229,264,6873546752,9135194112,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,8,multi-hop,32.4427,0.0,0.0,0,1,1,128,384,384,19327352832,19327352832,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,9,structural,38.6353,0.0,19.3149,0,1,0,60,316,316,13088325632,13088325632,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,10,multi-hop,30.2062,0.0,0.0,0,1,1,119,296,296,11484004352,11484004352,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,11,semantic,30.2036,0.0,52.3777,0,1,0,91,281,316,10349576192,13088325632,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,12,semantic,21.5082,0.0,47.515,0,1,0,32,264,263,9135194112,9066119168,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,13,semantic,17.9381,0.0,0.0,0,1,1,104,325,306,13844480000,12273057792,7.461,0.032
