model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,flops_saved_cosine,flops_saved_graph,embed_time_s,graph_build_time_s
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,0,structural,49.6482,60.7837,56.6737,0,0,0,106,362,362,45087522816,45087522816,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,1,multi-hop,46.3887,0.0,0.0,0,1,1,36,261,286,23437983744,28143058944,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,2,multi-hop,52.7287,0.0,0.0,0,1,1,104,321,320,35452698624,35232153600,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,3,semantic,56.1656,0.0,0.0,0,1,1,120,376,376,48642392064,48642392064,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,4,structural,48.5405,46.731,47.6815,0,0,0,120,340,376,39773798400,48642392064,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,5,multi-hop,47.4747,0.0,0.0,0,1,1,93,349,349,41907339264,41907339264,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,6,structural,49.5256,55.5129,54.5192,0,0,0,86,304,310,31797018624,33064550400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,7,multi-hop,51.384,64.2836,63.3811,0,0,0,65,321,321,35452698624,35452698624,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,8,multi-hop,50.4521,0.0,0.0,0,1,1,80,336,276,38843449344,26209419264,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,9,structural,50.8152,62.116,0.0,0,0,1,95,351,351,42389028864,42389028864,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,10,multi-hop,39.811,0.0,45.5561,0,1,0,12,61,268,1280262144,24712052736,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,11,semantic,36.6413,0.0,43.5475,0,1,0,73,311,329,33278214144,37241831424,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,12,semantic,50.0611,0.0,59.7546,0,1,0,49,169,254,9826811904,22197633024,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,13,semantic,51.0034,0.0,0.0,0,1,1,44,299,299,30759665664,30759665664,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,14,multi-hop,44.1646,0.0,50.6071,0,1,0,24,184,279,11648630784,26782285824,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,15,structural,51.6044,0.0,0.0,0,1,1,119,375,375,48384000000,48384000000,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,16,structural,66.0029,0.0,0.0,0,1,1,93,349,349,41907339264,41907339264,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,17,semantic,54.1969,0.0,0.0,0,1,1,2,12,22,49545216,166526976,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,18,semantic,56.0073,0.0,63.8652,0,1,0,122,378,378,49161240576,49161240576,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,19,multi-hop,47.0682,53.2388,63.4988,0,0,0,60,316,316,34356854784,34356854784,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,20,multi-hop,55.0871,60.1987,63.8625,0,0,0,109,353,365,42873470976,45837926400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,21,multi-hop,60.7948,0.0,57.8456,0,1,0,87,341,336,40008105984,38843449344,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,22,structural,49.0518,0.0,0.0,0,1,1,93,346,313,41189965824,33707606016,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,23,semantic,51.3785,0.0,0.0,0,1,1,72,328,311,37015781376,33278214144,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,24,semantic,53.3665,0.0,62.3864,0,1,0,119,375,375,48384000000,48384000000,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,25,multi-hop,46.7923,0.0,0.0,0,1,1,26,282,282,27361345536,27361345536,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,26,multi-hop,53.0658,0.0,56.0426,0,1,0,88,344,214,40715157504,15756754944,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,27,multi-hop,45.412,50.8973,0.0,0,0,1,118,374,342,48126296064,40243101696,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,28,semantic,53.5995,0.0,69.9013,0,1,0,83,339,339,39540178944,39540178944,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,29,structural,37.7558,40.163,42.6623,0,0,0,73,286,329,28143058944,37241831424,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,30,multi-hop,42.7293,0.0,50.2473,0,1,0,14,258,270,22902276096,25082265600,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,31,multi-hop,45.6199,0.0,51.966,0,1,0,91,327,331,36790419456,37695995904,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,32,semantic,50.5121,0.0,0.0,0,1,1,118,359,365,44343312384,45837926400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,3,16,33,structural,41.82,40.727,41.2339,0,0,0,86,264,264,23979884544,23979884544,8.317,0.107
