source_file,k,policy,baseline,metric,questions,mean_delta,ci_low,ci_high
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,3,graph,cosine,em,150,-0.02,-0.05333333333333334,0.013333333333333334
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,3,graph,cosine,f1,150,-0.004773333333333333,-0.040591833333333334,0.030151433333333328
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,3,adaptive,cosine,em,150,-0.03333333333333333,-0.06666666666666667,0.0
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,3,adaptive,cosine,f1,150,-0.02696933333333333,-0.06423410000000002,0.008890299999999993
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,6,graph,cosine,em,150,0.013333333333333334,-0.02,0.05333333333333334
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,6,graph,cosine,f1,150,0.007995999999999996,-0.03608979999999999,0.05079013333333332
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,6,adaptive,cosine,em,150,-0.006666666666666667,-0.04,0.02666666666666667
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,6,adaptive,cosine,f1,150,-0.011524666666666662,-0.05587523333333334,0.03145148333333331
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,8,graph,cosine,em,150,0.03333333333333333,0.0,0.07333333333333333
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,8,graph,cosine,f1,150,0.0023359999999999974,-0.04348568333333334,0.04852475
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,8,adaptive,cosine,em,150,0.02,-0.02,0.06
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,8,adaptive,cosine,f1,150,0.022779333333333332,-0.026992250000000006,0.07253434999999998
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,12,graph,cosine,em,150,0.0,-0.02666666666666667,0.02666666666666667
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,12,graph,cosine,f1,150,0.0041486666666666686,-0.030461066666666665,0.037280933333333335
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,12,adaptive,cosine,em,150,-0.013333333333333334,-0.03333333333333333,0.0
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,12,adaptive,cosine,f1,150,0.025383333333333334,-0.010908216666666665,0.06107579999999999
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,16,graph,cosine,em,150,0.0,0.0,0.0
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,16,graph,cosine,f1,150,-0.0014233333333333348,-0.016544383333333336,0.0130927
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,16,adaptive,cosine,em,150,0.0,0.0,0.0
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,16,adaptive,cosine,f1,150,0.0006026666666666673,-0.0190582,0.01976981666666666
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,graph,cosine,em,200,0.0,-0.035,0.035
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,graph,cosine,f1,200,0.009731000000000002,-0.026489650000000003,0.04718033749999998
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,adaptive,cosine,em,200,-0.03,-0.06,0.0
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,adaptive,cosine,f1,200,-0.019084999999999998,-0.056567212500000005,0.016519
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,graph,cosine,em,200,-0.015,-0.055,0.02
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,graph,cosine,f1,200,-0.018959,-0.057247725000000006,0.019541912499999994
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,adaptive,cosine,em,200,-0.055,-0.095,-0.015
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,adaptive,cosine,f1,200,-0.048499,-0.09407365000000001,-0.006420975000000014
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,graph,cosine,em,200,-0.005,-0.035,0.025
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,graph,cosine,f1,200,0.002112999999999998,-0.026285637499999997,0.030588349999999976
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,adaptive,cosine,em,200,-0.035,-0.075,0.0
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,adaptive,cosine,f1,200,-0.019537,-0.06082060000000001,0.0193940875
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,graph,cosine,em,200,-0.025,-0.065,0.015
