source_file,k,policy,questions,mean_em,mean_f1
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,3,cosine,150,0.11333333333333333,0.3322186666666667
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,3,graph,150,0.09333333333333334,0.32744533333333337
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,3,adaptive,150,0.08,0.3052493333333334
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,6,cosine,150,0.11333333333333333,0.34253933333333336
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,6,graph,150,0.12666666666666668,0.3505353333333333
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,6,adaptive,150,0.10666666666666667,0.3310146666666667
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,8,cosine,150,0.08666666666666667,0.31938933333333336
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,8,graph,150,0.12,0.3217253333333333
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,8,adaptive,150,0.10666666666666667,0.34216866666666673
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,12,cosine,150,0.02,0.11938466666666665
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,12,graph,150,0.02,0.12353333333333334
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,12,adaptive,150,0.006666666666666667,0.144768
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,16,cosine,150,0.0,0.06961466666666666
qa_quality_meta_llama_Llama_3.2_1B_Instruct_multifield_K3-6-8-12-16_topm20_n200_seed42.csv,16,graph,150,0.0,0.06819133333333333
